Stationsnummer: 2009
Stationsname: Porte du Scex
DBLH-Nr: 00032
Gewässer: Rhône
Exportperiode: 2019-01-01-2022-01-05
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-01 00:00:00;2019-01-01 15:10:00;5.08;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-02 00:00:00;2019-01-02 15:10:00;5.01;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-03 00:00:00;2019-01-03 00:00:00;4.22;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-04 00:00:00;2019-01-04 14:40:00;3.57;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-05 00:00:00;2019-01-05 22:30:00;3.53;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-06 00:00:00;2019-01-06 14:00:00;4.51;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-07 00:00:00;2019-01-07 17:10:00;4.72;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-08 00:00:00;2019-01-08 21:50:00;4.65;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-09 00:00:00;2019-01-09 04:00:00;4.68;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-10 00:00:00;2019-01-10 16:50:00;4.26;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-11 00:00:00;2019-01-11 17:10:00;4.12;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-12 00:00:00;2019-01-12 02:30:00;4.11;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-13 00:00:00;2019-01-14 00:00:00;4.50;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-14 00:00:00;2019-01-14 15:20:00;4.92;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-15 00:00:00;2019-01-15 00:10:00;4.86;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-16 00:00:00;2019-01-16 17:20:00;4.31;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-17 00:00:00;2019-01-17 19:50:00;4.39;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-18 00:00:00;2019-01-18 15:40:00;4.64;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-19 00:00:00;2019-01-19 00:40:00;4.38;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-20 00:00:00;2019-01-20 15:10:00;3.99;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-21 00:00:00;2019-01-21 16:00:00;4.41;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-22 00:00:00;2019-01-22 00:10:00;4.09;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-23 00:00:00;2019-01-23 17:10:00;4.10;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-24 00:00:00;2019-01-24 16:10:00;4.16;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-25 00:00:00;2019-01-25 15:50:00;4.10;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-26 00:00:00;2019-01-26 14:40:00;4.24;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-27 00:00:00;2019-01-27 15:20:00;4.52;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-28 00:00:00;2019-01-28 16:30:00;4.67;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-29 00:00:00;2019-01-29 16:30:00;4.51;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-30 00:00:00;2019-01-30 14:50:00;4.51;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-01-31 00:00:00;2019-01-31 18:10:00;4.28;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-01 00:00:00;2019-02-01 23:50:00;4.39;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-02 00:00:00;2019-02-02 14:20:00;5.15;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-03 00:00:00;2019-02-03 14:10:00;5.07;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-04 00:00:00;2019-02-04 00:00:00;4.68;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-05 00:00:00;2019-02-05 16:30:00;4.47;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-06 00:00:00;2019-02-06 16:20:00;4.31;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-07 00:00:00;2019-02-07 20:00:00;4.29;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-08 00:00:00;2019-02-08 13:50:00;4.79;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-09 00:00:00;2019-02-09 15:30:00;5.57;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-10 00:00:00;2019-02-10 21:30:00;5.83;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-11 00:00:00;2019-02-11 00:00:00;5.68;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-12 00:00:00;2019-02-12 15:10:00;4.86;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-13 00:00:00;2019-02-13 16:50:00;4.68;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-14 00:00:00;2019-02-14 17:00:00;4.95;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-15 00:00:00;2019-02-15 15:50:00;5.18;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-16 00:00:00;2019-02-16 15:10:00;5.89;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-17 00:00:00;2019-02-17 15:20:00;5.97;Freigegeben, provisorische Daten
Porte du Scex;2009;Wassertemperatur;Tagesmaxima;°C;Rhône;2019-02-18 00:00:00;2019-02-18 16:00:00;5.71;Freigegeben, provisorische Daten
