Stationsnummer: 2011
Stationsname: Sion
DBLH-Nr: 00036
Gewässer: Rhône
Exportperiode: 2018-01-01-2020-01-22
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-01 00:00:00;2018-01-01 16:30:00;4.67;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-02 00:00:00;2018-01-02 15:20:00;4.68;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-03 00:00:00;2018-01-03 23:30:00;5.11;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-04 00:00:00;2018-01-04 00:50:00;4.97;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-05 00:00:00;2018-01-05 16:40:00;5.23;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-06 00:00:00;2018-01-06 21:40:00;5.16;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-07 00:00:00;2018-01-07 21:20:00;6.25;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-08 00:00:00;2018-01-08 01:10:00;6.22;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-09 00:00:00;2018-01-09 15:20:00;5.50;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-10 00:00:00;2018-01-10 21:30:00;5.07;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-11 00:00:00;2018-01-11 14:40:00;5.32;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-12 00:00:00;2018-01-12 00:10:00;5.01;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-13 00:00:00;2018-01-13 16:20:00;4.42;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-14 00:00:00;2018-01-14 16:10:00;4.10;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-15 00:00:00;2018-01-16 00:00:00;4.14;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-16 00:00:00;2018-01-16 23:10:00;5.27;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-17 00:00:00;2018-01-17 06:50:00;5.31;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-18 00:00:00;2018-01-18 16:50:00;4.39;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-19 00:00:00;2018-01-19 16:50:00;5.57;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-20 00:00:00;2018-01-20 00:00:00;5.01;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-21 00:00:00;2018-01-21 18:40:00;5.22;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-22 00:00:00;2018-01-22 21:30:00;4.77;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-23 00:00:00;2018-01-23 15:20:00;6.07;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-24 00:00:00;2018-01-24 15:20:00;5.69;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-25 00:00:00;2018-01-26 00:00:00;5.85;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-26 00:00:00;2018-01-26 15:10:00;6.36;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-27 00:00:00;2018-01-27 16:10:00;6.52;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-28 00:00:00;2018-01-28 16:30:00;6.33;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-29 00:00:00;2018-01-29 15:20:00;5.45;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-30 00:00:00;2018-01-30 14:40:00;5.14;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-01-31 00:00:00;2018-01-31 16:00:00;5.08;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-01 00:00:00;2018-02-01 16:00:00;5.30;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-02 00:00:00;2018-02-02 15:40:00;4.85;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-03 00:00:00;2018-02-03 16:10:00;4.91;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-04 00:00:00;2018-02-04 21:10:00;4.46;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-05 00:00:00;2018-02-05 16:10:00;4.67;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-06 00:00:00;2018-02-06 00:00:00;4.49;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-07 00:00:00;2018-02-07 00:00:00;4.72;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-08 00:00:00;2018-02-08 00:00:00;4.75;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-09 00:00:00;2018-02-09 00:00:00;4.41;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-10 00:00:00;2018-02-10 00:00:00;4.50;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-11 00:00:00;2018-02-11 00:00:00;4.71;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-12 00:00:00;2018-02-12 00:00:00;4.65;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-13 00:00:00;2018-02-13 00:00:00;3.33;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmaxima;°C;Rhône;2018-02-14 00:00:00;2018-02-14 16:40:00;4.68;Freigegeben, provisorische Daten
