Stationsnummer: 2011
Stationsname: Sion
DBLH-Nr: 00036
Gewässer: Rhône
Exportperiode: 2018-01-01-2020-01-22
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-01 00:00:00;;4.24;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-02 00:00:00;;4.45;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-03 00:00:00;;4.57;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-04 00:00:00;;4.33;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-05 00:00:00;;4.43;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-06 00:00:00;;4.63;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-07 00:00:00;;5.54;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-08 00:00:00;;5.90;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-09 00:00:00;;5.28;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-10 00:00:00;;4.72;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-11 00:00:00;;4.90;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-12 00:00:00;;4.34;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-13 00:00:00;;3.77;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-14 00:00:00;;3.49;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-15 00:00:00;;3.21;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-16 00:00:00;;4.37;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-17 00:00:00;;4.66;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-18 00:00:00;;3.94;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-19 00:00:00;;4.66;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-20 00:00:00;;4.61;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-21 00:00:00;;4.64;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-22 00:00:00;;4.54;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-23 00:00:00;;5.22;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-24 00:00:00;;5.07;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-25 00:00:00;;5.31;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-26 00:00:00;;5.63;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-27 00:00:00;;5.90;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-28 00:00:00;;5.63;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-29 00:00:00;;5.03;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-30 00:00:00;;4.67;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-01-31 00:00:00;;4.41;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-01 00:00:00;;4.96;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-02 00:00:00;;4.24;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-03 00:00:00;;4.19;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-04 00:00:00;;3.89;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-05 00:00:00;;4.10;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-06 00:00:00;;4.49;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-07 00:00:00;;4.72;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-08 00:00:00;;4.75;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-09 00:00:00;;4.41;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-10 00:00:00;;4.50;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-11 00:00:00;;4.71;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-12 00:00:00;;4.65;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-13 00:00:00;;3.33;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-14 00:00:00;;3.78;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-15 00:00:00;;3.30;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-16 00:00:00;;4.69;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-17 00:00:00;;5.68;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-18 00:00:00;;6.29;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-19 00:00:00;;5.64;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-20 00:00:00;;4.87;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-21 00:00:00;;4.80;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-22 00:00:00;;4.51;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-23 00:00:00;;4.15;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-24 00:00:00;;4.58;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-25 00:00:00;;4.43;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-26 00:00:00;;3.64;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-27 00:00:00;;2.65;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-02-28 00:00:00;;2.24;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-01 00:00:00;;2.91;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-02 00:00:00;;3.47;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-03 00:00:00;;3.81;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-04 00:00:00;;5.02;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-05 00:00:00;;5.49;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-06 00:00:00;;5.88;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-07 00:00:00;;6.15;Freigegeben, provisorische Daten
Sion;2011;Wassertemperatur;Tagesmittel;°C;Rhône;2018-03-08 00:00:00;;5.77;Freigegeben, provisorische Daten
