Stationsnummer: 2016
Stationsname: Brugg
DBLH-Nr: 00047
Gewässer: Aare
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-01 00:00:00;2014-01-01 16:15:00;5.96;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-02 00:00:00;2014-01-02 19:05:00;6.12;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-03 00:00:00;2014-01-04 00:00:00;6.17;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-04 00:00:00;2014-01-04 23:15:00;6.44;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-05 00:00:00;2014-01-05 00:00:00;6.41;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-06 00:00:00;2014-01-06 18:55:00;6.03;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-07 00:00:00;2014-01-07 16:25:00;6.36;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-08 00:00:00;2014-01-08 16:05:00;6.53;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-09 00:00:00;2014-01-09 22:55:00;6.52;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-10 00:00:00;2014-01-10 18:45:00;6.59;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-11 00:00:00;2014-01-11 18:55:00;6.56;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-12 00:00:00;2014-01-12 00:00:00;6.51;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-13 00:00:00;2014-01-13 17:35:00;6.45;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-14 00:00:00;2014-01-14 14:15:00;6.51;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-15 00:00:00;2014-01-15 00:00:00;6.42;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-16 00:00:00;2014-01-17 00:00:00;6.19;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-17 00:00:00;2014-01-17 16:25:00;6.30;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-18 00:00:00;2014-01-18 16:35:00;6.26;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-19 00:00:00;2014-01-19 15:15:00;6.17;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-20 00:00:00;2014-01-21 00:00:00;6.23;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-21 00:00:00;2014-01-21 17:45:00;6.30;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-22 00:00:00;2014-01-22 17:15:00;6.33;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-23 00:00:00;2014-01-23 00:00:00;6.15;Freigegeben, validierte Daten
Brugg;2016;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-24 00:00:00;2014-01-24 18:15:00;5.93;Freigegeben, validierte Daten
