Stationsnummer: 2016
Stationsname: Brugg
DBLH-Nr: 00047
Gewässer: Aare
Exportperiode: 2019-01-01-2022-01-07
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-01 00:00:00;;7.37;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-02 00:00:00;;7.25;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-03 00:00:00;;6.67;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-04 00:00:00;;6.39;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-05 00:00:00;;6.10;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-06 00:00:00;;6.06;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-07 00:00:00;;6.37;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-08 00:00:00;;6.39;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-09 00:00:00;;6.35;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-10 00:00:00;;6.13;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-11 00:00:00;;5.91;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-12 00:00:00;;5.87;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-13 00:00:00;;5.90;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-14 00:00:00;;6.17;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-15 00:00:00;;6.51;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-16 00:00:00;;6.43;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-17 00:00:00;;6.26;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-18 00:00:00;;6.28;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-19 00:00:00;;6.02;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-20 00:00:00;;5.76;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-21 00:00:00;;5.72;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-22 00:00:00;;5.76;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-23 00:00:00;;5.68;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-24 00:00:00;;5.62;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-25 00:00:00;;5.46;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-26 00:00:00;;5.44;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-27 00:00:00;;5.60;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-28 00:00:00;;5.74;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-29 00:00:00;;5.72;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-30 00:00:00;;5.59;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-31 00:00:00;;5.34;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-01 00:00:00;;5.42;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-02 00:00:00;;5.57;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-03 00:00:00;;5.71;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-04 00:00:00;;5.66;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-05 00:00:00;;5.57;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-06 00:00:00;;5.42;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-07 00:00:00;;5.22;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-08 00:00:00;;5.27;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-09 00:00:00;;5.57;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-10 00:00:00;;5.86;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-11 00:00:00;;5.97;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-12 00:00:00;;5.89;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-13 00:00:00;;5.73;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-14 00:00:00;;5.67;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-15 00:00:00;;5.70;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-16 00:00:00;;5.76;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-17 00:00:00;;5.84;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-18 00:00:00;;5.92;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-19 00:00:00;;6.02;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-20 00:00:00;;6.15;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-21 00:00:00;;6.27;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-22 00:00:00;;6.53;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-23 00:00:00;;6.73;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-24 00:00:00;;6.62;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-25 00:00:00;;6.54;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-26 00:00:00;;6.52;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-27 00:00:00;;6.60;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-28 00:00:00;;6.78;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-01 00:00:00;;7.05;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-02 00:00:00;;7.08;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-03 00:00:00;;7.26;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-04 00:00:00;;7.48;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-05 00:00:00;;7.41;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-06 00:00:00;;7.39;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-07 00:00:00;;7.29;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-08 00:00:00;;7.35;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-09 00:00:00;;7.31;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-10 00:00:00;;7.42;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-11 00:00:00;;7.45;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-12 00:00:00;;6.90;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-13 00:00:00;;6.79;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-14 00:00:00;;6.76;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-15 00:00:00;;6.51;Freigegeben, provisorische Daten
Brugg;2016;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-16 00:00:00;;7.01;Freigegeben, provisorische Daten
