Stationsnummer: 2018
Stationsname: Mellingen
DBLH-Nr: 00051
Gewässer: Reuss
Exportperiode: 2019-01-01-2022-03-03
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-01 00:00:00;2019-01-01 15:10:00;7.56;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-02 00:00:00;2019-01-02 01:20:00;7.46;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-03 00:00:00;2019-01-03 00:10:00;6.76;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-04 00:00:00;2019-01-04 13:40:00;6.18;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-05 00:00:00;2019-01-05 06:00:00;6.01;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-06 00:00:00;2019-01-06 23:50:00;6.24;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-07 00:00:00;2019-01-07 13:10:00;6.65;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-08 00:00:00;2019-01-08 03:40:00;6.52;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-09 00:00:00;2019-01-09 05:20:00;6.37;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-10 00:00:00;2019-01-10 04:50:00;5.92;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-11 00:00:00;2019-01-11 14:40:00;5.78;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-12 00:00:00;2019-01-12 14:30:00;5.83;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-13 00:00:00;2019-01-14 00:00:00;6.26;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-14 00:00:00;2019-01-14 07:00:00;6.42;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-15 00:00:00;2019-01-15 15:50:00;6.02;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-16 00:00:00;2019-01-16 02:00:00;5.91;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-17 00:00:00;2019-01-17 04:00:00;5.68;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-18 00:00:00;2019-01-18 14:00:00;5.91;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-19 00:00:00;2019-01-19 02:10:00;5.37;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-20 00:00:00;2019-01-20 14:20:00;4.99;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-21 00:00:00;2019-01-21 16:00:00;5.52;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-22 00:00:00;2019-01-22 05:50:00;5.45;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-23 00:00:00;2019-01-23 12:00:00;5.17;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-24 00:00:00;2019-01-24 12:50:00;5.09;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-25 00:00:00;2019-01-25 15:20:00;5.04;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-26 00:00:00;2019-01-26 15:40:00;5.12;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-27 00:00:00;2019-01-27 14:40:00;5.63;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-28 00:00:00;2019-01-28 14:30:00;5.72;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-29 00:00:00;2019-01-29 14:20:00;5.70;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-30 00:00:00;2019-01-30 13:50:00;5.42;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-31 00:00:00;2019-01-31 14:30:00;5.18;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-01 00:00:00;2019-02-01 15:10:00;5.21;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-02 00:00:00;2019-02-02 15:10:00;5.61;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-03 00:00:00;2019-02-03 14:50:00;5.40;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-04 00:00:00;2019-02-04 15:50:00;4.91;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-05 00:00:00;2019-02-05 14:30:00;4.92;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-06 00:00:00;2019-02-06 13:40:00;4.95;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-07 00:00:00;2019-02-07 15:00:00;4.86;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-08 00:00:00;2019-02-08 14:30:00;5.42;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-09 00:00:00;2019-02-09 15:30:00;5.51;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-10 00:00:00;2019-02-10 12:00:00;5.90;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-11 00:00:00;2019-02-11 14:40:00;5.91;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-12 00:00:00;2019-02-12 14:20:00;5.70;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-13 00:00:00;2019-02-13 14:30:00;5.90;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-14 00:00:00;2019-02-14 14:40:00;5.96;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-15 00:00:00;2019-02-15 14:50:00;6.34;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-16 00:00:00;2019-02-16 14:50:00;6.49;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-17 00:00:00;2019-02-17 14:40:00;6.60;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-18 00:00:00;2019-02-18 14:40:00;6.59;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-19 00:00:00;2019-02-19 14:40:00;6.75;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-20 00:00:00;2019-02-20 14:40:00;7.09;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-21 00:00:00;2019-02-21 14:30:00;7.21;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-22 00:00:00;2019-02-22 14:10:00;7.35;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-23 00:00:00;2019-02-23 14:00:00;7.43;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-24 00:00:00;2019-02-24 14:30:00;7.07;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-25 00:00:00;2019-02-25 14:50:00;7.13;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-26 00:00:00;2019-02-26 14:30:00;7.41;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-27 00:00:00;2019-02-27 14:20:00;7.65;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-02-28 00:00:00;2019-02-28 14:40:00;7.88;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-03-01 00:00:00;2019-03-01 06:20:00;7.79;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-03-02 00:00:00;2019-03-02 02:10:00;7.11;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-03-03 00:00:00;2019-03-03 14:30:00;7.54;Freigegeben, provisorische Daten
