Stationsnummer: 2018
Stationsname: Mellingen
DBLH-Nr: 00051
Gewässer: Reuss
Exportperiode: 2019-01-01-2022-03-03
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-01 00:00:00;;7.47;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-02 00:00:00;;7.18;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-03 00:00:00;;6.29;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-04 00:00:00;;5.99;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-05 00:00:00;;5.86;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-06 00:00:00;;6.02;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-07 00:00:00;;6.50;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-08 00:00:00;;6.42;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-09 00:00:00;;6.24;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-10 00:00:00;;5.68;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-11 00:00:00;;5.52;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-12 00:00:00;;5.67;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-13 00:00:00;;6.05;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-14 00:00:00;;6.21;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-15 00:00:00;;5.78;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-16 00:00:00;;5.68;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-17 00:00:00;;5.58;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-18 00:00:00;;5.65;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-19 00:00:00;;5.06;Freigegeben, provisorische Daten
Mellingen;2018;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-20 00:00:00;;4.85;Freigegeben, provisorische Daten
