Stationsnummer: 2019
Stationsname: Brienzwiler
DBLH-Nr: 00060
Gewässer: Aare
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-01 00:00:00;2014-01-01 14:35:00;3.93;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-02 00:00:00;2014-01-02 14:05:00;3.91;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-03 00:00:00;2014-01-03 15:45:00;4.20;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-04 00:00:00;2014-01-04 12:45:00;4.25;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-05 00:00:00;2014-01-05 08:45:00;4.42;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-06 00:00:00;2014-01-06 21:25:00;4.93;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-07 00:00:00;2014-01-07 16:45:00;5.46;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-08 00:00:00;2014-01-08 15:45:00;5.26;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-09 00:00:00;2014-01-09 17:25:00;5.57;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-10 00:00:00;2014-01-10 15:45:00;6.22;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-11 00:00:00;2014-01-11 08:55:00;5.14;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-12 00:00:00;2014-01-12 00:25:00;5.02;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-13 00:00:00;2014-01-13 14:35:00;5.50;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-14 00:00:00;2014-01-14 16:25:00;4.64;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-15 00:00:00;2014-01-15 16:25:00;5.94;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-16 00:00:00;2014-01-16 14:15:00;6.07;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-17 00:00:00;2014-01-17 16:15:00;6.63;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-18 00:00:00;2014-01-18 18:25:00;4.99;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-19 00:00:00;2014-01-19 15:05:00;5.82;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-20 00:00:00;2014-01-20 00:55:00;4.51;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-21 00:00:00;2014-01-21 17:55:00;4.57;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-22 00:00:00;2014-01-22 13:05:00;5.17;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-23 00:00:00;2014-01-23 18:45:00;5.20;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-24 00:00:00;2014-01-24 16:25:00;4.40;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-25 00:00:00;2014-01-25 12:55:00;3.77;Freigegeben, validierte Daten
Brienzwiler;2019;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-26 00:00:00;2014-01-26 17:05:00;4.37;Freigegeben, validierte Daten
