Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-01 00:00:00;2019-01-01 15:40:00;7.41;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-02 00:00:00;2019-01-02 00:30:00;7.40;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-03 00:00:00;2019-01-03 00:00:00;7.17;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-04 00:00:00;2019-01-04 15:40:00;6.97;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-05 00:00:00;2019-01-05 00:10:00;6.89;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-06 00:00:00;2019-01-06 14:30:00;7.05;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-07 00:00:00;2019-01-07 10:30:00;7.09;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-08 00:00:00;2019-01-08 16:50:00;6.87;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-09 00:00:00;2019-01-09 00:10:00;6.84;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-10 00:00:00;2019-01-10 15:00:00;6.68;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-11 00:00:00;2019-01-11 14:30:00;6.60;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-12 00:00:00;2019-01-12 15:30:00;6.55;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-13 00:00:00;2019-01-13 00:10:00;6.49;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-14 00:00:00;2019-01-14 04:10:00;6.55;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-15 00:00:00;2019-01-15 15:50:00;6.45;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-16 00:00:00;2019-01-16 16:10:00;6.45;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-17 00:00:00;2019-01-17 15:40:00;6.49;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-18 00:00:00;2019-01-18 15:20:00;6.51;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-19 00:00:00;2019-01-19 16:40:00;6.29;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-20 00:00:00;2019-01-20 13:50:00;6.60;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-21 00:00:00;2019-01-21 17:10:00;6.50;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-22 00:00:00;2019-01-22 14:50:00;6.19;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-23 00:00:00;2019-01-23 14:50:00;6.11;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-24 00:00:00;2019-01-24 15:20:00;6.12;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-25 00:00:00;2019-01-25 13:50:00;6.03;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-26 00:00:00;2019-01-26 15:10:00;6.10;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-27 00:00:00;2019-01-27 18:10:00;6.20;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-28 00:00:00;2019-01-28 14:20:00;6.02;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-29 00:00:00;2019-01-29 15:20:00;6.16;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-30 00:00:00;2019-01-30 13:40:00;5.92;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-31 00:00:00;2019-01-31 21:20:00;5.90;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-01 00:00:00;2019-02-01 17:30:00;5.95;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-02 00:00:00;2019-02-02 15:40:00;6.21;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-03 00:00:00;2019-02-03 00:00:00;6.00;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-04 00:00:00;2019-02-04 17:00:00;6.10;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-05 00:00:00;2019-02-05 17:10:00;5.94;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-06 00:00:00;2019-02-06 16:10:00;5.79;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-07 00:00:00;2019-02-07 16:40:00;5.73;Freigegeben, provisorische Daten
Thun;2030;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-08 00:00:00;2019-02-08 18:30:00;5.79;Freigegeben, provisorische Daten
