Stationsnummer: 2033
Stationsname: Ilanz
DBLH-Nr: 00875
Gewässer: Vorderrhein
Exportperiode: 2018-01-01-2022-03-30
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-01 00:00:00;2018-01-01 12:40:00;3.15;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-02 00:00:00;2018-01-02 13:40:00;3.67;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-03 00:00:00;2018-01-03 16:40:00;3.15;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-04 00:00:00;2018-01-04 02:50:00;2.88;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-05 00:00:00;2018-01-05 17:50:00;2.63;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-06 00:00:00;2018-01-06 16:00:00;3.90;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-07 00:00:00;2018-01-07 17:40:00;4.85;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-08 00:00:00;2018-01-08 20:30:00;4.00;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-09 00:00:00;2018-01-09 20:50:00;3.85;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-10 00:00:00;2018-01-10 12:50:00;4.00;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-11 00:00:00;2018-01-11 02:30:00;3.47;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-12 00:00:00;2018-01-12 21:10:00;4.23;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-13 00:00:00;2018-01-13 01:50:00;4.04;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-14 00:00:00;2018-01-14 01:50:00;2.68;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-15 00:00:00;2018-01-15 23:50:00;2.58;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-16 00:00:00;2018-01-17 00:00:00;3.16;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-17 00:00:00;2018-01-17 00:10:00;3.19;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-18 00:00:00;2018-01-19 00:00:00;2.98;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-19 00:00:00;2018-01-19 16:20:00;3.74;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-20 00:00:00;2018-01-20 14:40:00;3.34;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-21 00:00:00;2018-01-21 17:30:00;2.38;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-22 00:00:00;2018-01-22 17:10:00;2.53;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-23 00:00:00;2018-01-23 15:10:00;3.11;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-24 00:00:00;2018-01-24 03:50:00;3.16;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-25 00:00:00;2018-01-25 19:40:00;3.32;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-26 00:00:00;2018-01-26 15:50:00;3.82;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-27 00:00:00;2018-01-27 06:10:00;3.83;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-28 00:00:00;2018-01-28 16:10:00;4.14;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-29 00:00:00;2018-01-29 18:10:00;3.05;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-30 00:00:00;2018-01-30 17:30:00;3.18;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-01-31 00:00:00;2018-01-31 18:40:00;3.15;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-02-01 00:00:00;2018-02-01 12:30:00;3.20;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-02-02 00:00:00;2018-02-02 06:00:00;3.05;Freigegeben, provisorische Daten
Ilanz;2033;Wassertemperatur;Tagesmaxima;°C;Vorderrhein;2018-02-03 00:00:00;2018-02-03 15:40:00;3.46;Freigegeben, provisorische Daten
