Stationsnummer: 2034
Stationsname: Payerne, Caserne d'aviation
DBLH-Nr: 00883
Gewässer: Broye
Exportperiode: 2019-01-01-2022-03-24
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-01 00:00:00;2019-01-01 16:50:00;5.35;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-02 00:00:00;2019-01-02 00:00:00;5.12;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-03 00:00:00;2019-01-03 00:00:00;4.20;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-04 00:00:00;2019-01-04 00:00:00;2.00;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-05 00:00:00;2019-01-05 18:10:00;1.87;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-06 00:00:00;2019-01-06 18:10:00;3.22;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-07 00:00:00;2019-01-07 16:50:00;3.56;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-08 00:00:00;2019-01-08 17:10:00;3.71;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-09 00:00:00;2019-01-09 15:30:00;3.84;Freigegeben, provisorische Daten
Payerne, Caserne d'aviation;2034;Wassertemperatur;Tagesmaxima;°C;Broye;2019-01-10 00:00:00;2019-01-10 17:50:00;3.46;Freigegeben, provisorische Daten
