Stationsnummer: 2044
Stationsname: Andelfingen
DBLH-Nr: 00136
Gewässer: Thur
Exportperiode: 2019-01-01-2022-01-12
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-01 00:00:00;2019-01-01 16:40:00;6.33;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-02 00:00:00;2019-01-02 00:10:00;6.21;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-03 00:00:00;2019-01-03 00:00:00;5.37;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-04 00:00:00;2019-01-04 19:20:00;4.58;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-05 00:00:00;2019-01-05 00:00:00;4.38;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-06 00:00:00;2019-01-06 23:20:00;4.63;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-07 00:00:00;2019-01-07 21:20:00;5.15;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-08 00:00:00;2019-01-08 22:50:00;5.22;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-09 00:00:00;2019-01-09 01:40:00;5.27;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-10 00:00:00;2019-01-10 00:10:00;4.82;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-11 00:00:00;2019-01-11 00:00:00;4.15;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-12 00:00:00;2019-01-13 00:00:00;4.31;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-13 00:00:00;2019-01-14 00:00:00;5.19;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-14 00:00:00;2019-01-14 03:50:00;5.36;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-15 00:00:00;2019-01-15 17:30:00;5.11;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-16 00:00:00;2019-01-16 00:00:00;4.87;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-17 00:00:00;2019-01-17 21:20:00;4.76;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-18 00:00:00;2019-01-18 02:30:00;4.74;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-19 00:00:00;2019-01-19 00:00:00;4.24;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-20 00:00:00;2019-01-20 00:00:00;3.35;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-21 00:00:00;2019-01-21 21:40:00;3.58;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-22 00:00:00;2019-01-22 19:50:00;3.64;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-23 00:00:00;2019-01-23 19:40:00;3.61;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-24 00:00:00;2019-01-24 02:40:00;3.50;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-25 00:00:00;2019-01-25 21:00:00;3.30;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-26 00:00:00;2019-01-26 19:50:00;3.47;Freigegeben, provisorische Daten
Andelfingen;2044;Wassertemperatur;Tagesmaxima;°C;Thur;2019-01-27 00:00:00;2019-01-27 23:40:00;4.28;Freigegeben, provisorische Daten
