Stationsnummer: 2056
Stationsname: Seedorf
DBLH-Nr: 00169
Gewässer: Reuss
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-01 00:00:00;2014-01-01 14:15:00;3.71;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-02 00:00:00;2014-01-02 14:35:00;4.19;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-03 00:00:00;2014-01-03 16:15:00;4.32;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-04 00:00:00;2014-01-04 16:05:00;5.60;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-05 00:00:00;2014-01-05 15:05:00;5.17;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-06 00:00:00;2014-01-06 13:55:00;4.60;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-07 00:00:00;2014-01-07 13:45:00;4.89;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-08 00:00:00;2014-01-08 15:35:00;5.49;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-09 00:00:00;2014-01-09 14:25:00;5.46;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-10 00:00:00;2014-01-10 04:45:00;5.06;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-11 00:00:00;2014-01-11 15:25:00;5.29;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-12 00:00:00;2014-01-12 13:45:00;5.42;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-13 00:00:00;2014-01-13 15:35:00;4.61;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-14 00:00:00;2014-01-14 06:15:00;4.21;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-15 00:00:00;2014-01-15 14:45:00;4.91;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-16 00:00:00;2014-01-16 16:05:00;5.08;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-17 00:00:00;2014-01-17 15:05:00;5.27;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-18 00:00:00;2014-01-18 14:15:00;5.14;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-19 00:00:00;2014-01-19 13:25:00;5.76;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-20 00:00:00;2014-01-20 14:35:00;5.07;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-21 00:00:00;2014-01-21 09:45:00;4.65;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-22 00:00:00;2014-01-22 13:55:00;5.12;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-23 00:00:00;2014-01-23 14:25:00;4.38;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-24 00:00:00;2014-01-24 03:55:00;3.79;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-25 00:00:00;2014-01-25 15:15:00;4.15;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-26 00:00:00;2014-01-26 16:25:00;4.13;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-27 00:00:00;2014-01-27 15:05:00;4.20;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-28 00:00:00;2014-01-28 14:15:00;4.44;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-29 00:00:00;2014-01-29 14:05:00;3.50;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-30 00:00:00;2014-01-30 14:25:00;3.97;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-01-31 00:00:00;2014-01-31 14:25:00;4.09;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-01 00:00:00;2014-02-01 12:45:00;4.80;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-02 00:00:00;2014-02-02 16:05:00;4.00;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-03 00:00:00;2014-02-03 15:05:00;4.50;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-04 00:00:00;2014-02-04 15:05:00;4.72;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-05 00:00:00;2014-02-05 14:15:00;4.86;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-06 00:00:00;2014-02-06 14:35:00;5.97;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-07 00:00:00;2014-02-07 14:45:00;4.75;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-08 00:00:00;2014-02-08 14:35:00;5.12;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-09 00:00:00;2014-02-09 14:55:00;5.41;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-10 00:00:00;2014-02-10 14:35:00;5.33;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-11 00:00:00;2014-02-11 14:25:00;5.82;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-12 00:00:00;2014-02-12 14:15:00;5.54;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-13 00:00:00;2014-02-13 14:15:00;4.15;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-14 00:00:00;2014-02-14 16:55:00;4.59;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-15 00:00:00;2014-02-15 14:45:00;6.29;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-16 00:00:00;2014-02-16 15:35:00;5.18;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-17 00:00:00;2014-02-17 14:55:00;6.04;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-18 00:00:00;2014-02-18 13:35:00;5.76;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-19 00:00:00;2014-02-19 15:35:00;5.21;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-20 00:00:00;2014-02-20 14:55:00;6.84;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-21 00:00:00;2014-02-21 14:15:00;5.03;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-22 00:00:00;2014-02-22 14:55:00;7.37;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-23 00:00:00;2014-02-23 14:55:00;7.12;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-24 00:00:00;2014-02-24 15:05:00;6.54;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-25 00:00:00;2014-02-25 14:55:00;6.47;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-26 00:00:00;2014-02-26 13:45:00;5.95;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-27 00:00:00;2014-02-27 14:35:00;6.60;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-02-28 00:00:00;2014-02-28 14:45:00;6.62;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-01 00:00:00;2014-03-01 15:45:00;5.67;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-02 00:00:00;2014-03-02 15:45:00;6.39;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-03 00:00:00;2014-03-03 13:15:00;4.90;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-04 00:00:00;2014-03-04 12:35:00;4.39;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-05 00:00:00;2014-03-05 16:55:00;4.85;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-06 00:00:00;2014-03-06 15:05:00;6.99;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-07 00:00:00;2014-03-07 15:15:00;7.84;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-08 00:00:00;2014-03-08 14:45:00;8.15;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-09 00:00:00;2014-03-09 15:05:00;8.35;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-10 00:00:00;2014-03-10 14:45:00;8.10;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-11 00:00:00;2014-03-11 14:45:00;7.30;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-12 00:00:00;2014-03-12 14:55:00;8.46;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-13 00:00:00;2014-03-13 14:55:00;8.63;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-14 00:00:00;2014-03-14 14:45:00;8.14;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-15 00:00:00;2014-03-15 14:15:00;7.80;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-16 00:00:00;2014-03-16 15:45:00;9.36;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-17 00:00:00;2014-03-17 14:05:00;9.17;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-18 00:00:00;2014-03-18 15:25:00;7.70;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-19 00:00:00;2014-03-19 15:15:00;8.19;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-20 00:00:00;2014-03-20 15:25:00;9.08;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-21 00:00:00;2014-03-21 14:25:00;9.37;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-22 00:00:00;2014-03-22 14:15:00;7.88;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-23 00:00:00;2014-03-23 00:00:00;5.55;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-24 00:00:00;2014-03-24 14:55:00;4.30;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-25 00:00:00;2014-03-25 15:15:00;5.89;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-26 00:00:00;2014-03-26 13:45:00;5.70;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-27 00:00:00;2014-03-27 14:55:00;6.64;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-28 00:00:00;2014-03-28 13:25:00;7.16;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-29 00:00:00;2014-03-29 16:25:00;9.08;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-30 00:00:00;2014-03-30 15:25:00;10.24;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-03-31 00:00:00;2014-03-31 14:15:00;9.01;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-04-01 00:00:00;2014-04-01 14:35:00;8.87;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-04-02 00:00:00;2014-04-02 14:05:00;9.21;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-04-03 00:00:00;2014-04-03 12:05:00;7.36;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-04-04 00:00:00;2014-04-04 13:55:00;8.98;Freigegeben, validierte Daten
Seedorf;2056;Wassertemperatur;Tagesmaxima;°C;Reuss;2014-04-05 00:00:00;2014-04-05 00:05:00;6.64;Freigegeben, validierte Daten
