Stationsnummer: 2056
Stationsname: Seedorf
DBLH-Nr: 00169
Gewässer: Reuss
Exportperiode: 2019-01-01-2022-01-26
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-01 00:00:00;;4.43;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-02 00:00:00;;3.38;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-03 00:00:00;;2.33;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-04 00:00:00;;2.11;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-05 00:00:00;;2.14;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-06 00:00:00;;3.03;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-07 00:00:00;;3.37;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-08 00:00:00;;3.11;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-09 00:00:00;;2.42;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-10 00:00:00;;2.41;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-11 00:00:00;;2.63;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-12 00:00:00;;2.79;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-13 00:00:00;;2.30;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-14 00:00:00;;3.00;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-15 00:00:00;;3.33;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-16 00:00:00;;2.66;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-17 00:00:00;;3.28;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-18 00:00:00;;2.97;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-19 00:00:00;;2.12;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-20 00:00:00;;2.22;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-21 00:00:00;;2.52;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-22 00:00:00;;2.30;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-23 00:00:00;;2.03;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-24 00:00:00;;2.40;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-25 00:00:00;;2.41;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-26 00:00:00;;2.78;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-27 00:00:00;;3.13;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-28 00:00:00;;3.16;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-29 00:00:00;;3.01;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-30 00:00:00;;2.55;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-01-31 00:00:00;;2.54;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-01 00:00:00;;3.46;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-02 00:00:00;;3.91;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-03 00:00:00;;3.30;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-04 00:00:00;;2.83;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-05 00:00:00;;2.65;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-06 00:00:00;;2.73;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-07 00:00:00;;2.92;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-08 00:00:00;;3.43;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-09 00:00:00;;3.81;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-10 00:00:00;;4.52;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-11 00:00:00;;3.49;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-12 00:00:00;;3.47;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-13 00:00:00;;3.04;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-14 00:00:00;;3.23;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-15 00:00:00;;3.36;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-16 00:00:00;;3.53;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-17 00:00:00;;3.63;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-18 00:00:00;;3.59;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-19 00:00:00;;3.61;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-20 00:00:00;;3.74;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-21 00:00:00;;3.92;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-22 00:00:00;;4.54;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-23 00:00:00;;4.36;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-24 00:00:00;;4.07;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-25 00:00:00;;3.94;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-26 00:00:00;;4.06;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-27 00:00:00;;4.11;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-02-28 00:00:00;;4.63;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-01 00:00:00;;4.47;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-02 00:00:00;;4.65;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-03 00:00:00;;4.90;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-04 00:00:00;;4.77;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-05 00:00:00;;4.74;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-06 00:00:00;;4.66;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-07 00:00:00;;5.16;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-08 00:00:00;;4.95;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-09 00:00:00;;5.07;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-10 00:00:00;;5.52;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-11 00:00:00;;4.13;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-12 00:00:00;;3.70;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-13 00:00:00;;4.19;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-14 00:00:00;;3.95;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-15 00:00:00;;4.28;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-16 00:00:00;;5.42;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-17 00:00:00;;5.96;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-18 00:00:00;;5.00;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-19 00:00:00;;4.81;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-20 00:00:00;;4.40;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-21 00:00:00;;4.43;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-22 00:00:00;;4.95;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-23 00:00:00;;5.65;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-24 00:00:00;;6.07;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-25 00:00:00;;5.38;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-26 00:00:00;;5.08;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-27 00:00:00;;4.93;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-28 00:00:00;;5.51;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-29 00:00:00;;5.67;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-30 00:00:00;;6.10;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-03-31 00:00:00;;6.22;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-01 00:00:00;;6.28;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-02 00:00:00;;6.71;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-03 00:00:00;;6.28;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-04 00:00:00;;1.79;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-05 00:00:00;;3.42;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-06 00:00:00;;4.36;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-07 00:00:00;;5.72;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-08 00:00:00;;5.95;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-09 00:00:00;;6.48;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-10 00:00:00;;6.04;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-11 00:00:00;;5.56;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-12 00:00:00;;5.21;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-13 00:00:00;;5.45;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-14 00:00:00;;5.21;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-15 00:00:00;;5.41;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-16 00:00:00;;6.45;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-17 00:00:00;;7.21;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-18 00:00:00;;7.11;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-19 00:00:00;;7.08;Freigegeben, provisorische Daten
Seedorf;2056;Wassertemperatur;Tagesmittel;°C;Reuss;2019-04-20 00:00:00;;6.83;Freigegeben, provisorische Daten
