Stationsnummer: 2068
Stationsname: Riazzino
DBLH-Nr: 00211
Gewässer: Ticino
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-01 00:00:00;2014-01-01 18:35:00;5.24;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-02 00:00:00;2014-01-02 15:55:00;5.31;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-03 00:00:00;2014-01-03 16:35:00;5.67;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-04 00:00:00;2014-01-04 13:05:00;5.98;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-05 00:00:00;2014-01-05 16:35:00;5.98;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-06 00:00:00;2014-01-06 21:55:00;5.79;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-07 00:00:00;2014-01-07 13:45:00;5.84;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-08 00:00:00;2014-01-08 21:25:00;5.72;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-09 00:00:00;2014-01-09 21:45:00;6.14;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-10 00:00:00;2014-01-10 22:05:00;7.06;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-11 00:00:00;2014-01-11 17:35:00;7.38;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-12 00:00:00;2014-01-12 00:00:00;6.75;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-13 00:00:00;2014-01-13 00:00:00;5.94;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-14 00:00:00;2014-01-14 00:00:00;5.30;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-15 00:00:00;2014-01-15 21:05:00;5.20;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-16 00:00:00;2014-01-16 21:15:00;5.30;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-17 00:00:00;2014-01-17 22:05:00;4.77;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-18 00:00:00;2014-01-18 15:45:00;5.89;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-19 00:00:00;2014-01-19 15:55:00;6.27;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-20 00:00:00;2014-01-20 21:05:00;6.15;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-21 00:00:00;2014-01-21 17:35:00;6.14;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-22 00:00:00;2014-01-22 18:35:00;6.28;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-23 00:00:00;2014-01-23 21:25:00;6.39;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-24 00:00:00;2014-01-24 11:35:00;5.76;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-25 00:00:00;2014-01-25 17:55:00;6.00;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-26 00:00:00;2014-01-26 14:25:00;6.58;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-27 00:00:00;2014-01-27 00:00:00;6.18;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-28 00:00:00;2014-01-28 22:05:00;5.39;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-29 00:00:00;2014-01-29 18:35:00;5.06;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-30 00:00:00;2014-01-30 12:05:00;5.15;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-01-31 00:00:00;2014-01-31 21:05:00;4.89;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-02-01 00:00:00;2014-02-01 15:05:00;6.05;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-02-02 00:00:00;2014-02-02 18:05:00;6.06;Freigegeben, validierte Daten
Riazzino;2068;Wassertemperatur;Tagesmaxima;°C;Ticino;2014-02-03 00:00:00;2014-02-03 11:15:00;6.21;Freigegeben, validierte Daten
