Stationsnummer: 2070
Stationsname: Emmenmatt, nur Hauptstation
DBLH-Nr: 00872
Gewässer: Emme
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-01 00:00:00;2014-01-01 14:35:00;3.67;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-02 00:00:00;2014-01-02 14:55:00;3.76;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-03 00:00:00;2014-01-03 19:15:00;3.85;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-04 00:00:00;2014-01-04 00:00:00;3.75;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-05 00:00:00;2014-01-05 14:45:00;3.67;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-06 00:00:00;2014-01-06 17:15:00;3.46;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-07 00:00:00;2014-01-07 14:35:00;4.29;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-08 00:00:00;2014-01-08 15:35:00;4.61;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-09 00:00:00;2014-01-09 18:15:00;4.44;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-10 00:00:00;2014-01-10 16:35:00;4.61;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-11 00:00:00;2014-01-11 17:35:00;4.85;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-12 00:00:00;2014-01-12 15:15:00;4.44;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-13 00:00:00;2014-01-13 20:45:00;4.09;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-14 00:00:00;2014-01-14 08:35:00;4.15;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-15 00:00:00;2014-01-15 15:55:00;4.22;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-16 00:00:00;2014-01-16 17:15:00;4.59;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-17 00:00:00;2014-01-17 14:15:00;4.46;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-18 00:00:00;2014-01-18 00:00:00;4.00;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-19 00:00:00;2014-01-19 16:05:00;4.43;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-20 00:00:00;2014-01-20 17:05:00;4.45;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-21 00:00:00;2014-01-21 19:05:00;4.12;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-22 00:00:00;2014-01-22 14:45:00;4.95;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-23 00:00:00;2014-01-23 16:45:00;4.14;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-24 00:00:00;2014-01-24 16:15:00;3.89;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-25 00:00:00;2014-01-25 15:45:00;3.26;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-26 00:00:00;2014-01-26 16:35:00;3.88;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-27 00:00:00;2014-01-27 14:15:00;4.35;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-28 00:00:00;2014-01-28 14:55:00;3.49;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-29 00:00:00;2014-01-29 16:05:00;3.26;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-30 00:00:00;2014-01-30 16:05:00;3.16;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-01-31 00:00:00;2014-01-31 15:35:00;3.77;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-01 00:00:00;2014-02-01 16:45:00;4.05;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-02 00:00:00;2014-02-02 16:15:00;4.38;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-03 00:00:00;2014-02-03 16:45:00;4.80;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-04 00:00:00;2014-02-04 15:15:00;5.26;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-05 00:00:00;2014-02-05 00:00:00;4.33;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-06 00:00:00;2014-02-06 16:05:00;4.78;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-07 00:00:00;2014-02-07 00:00:00;3.54;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-08 00:00:00;2014-02-08 16:45:00;3.55;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-09 00:00:00;2014-02-09 15:35:00;4.40;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-10 00:00:00;2014-02-10 16:55:00;4.43;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-11 00:00:00;2014-02-11 14:45:00;5.04;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-12 00:00:00;2014-02-12 15:35:00;5.38;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-13 00:00:00;2014-02-13 16:55:00;4.24;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-14 00:00:00;2014-02-14 17:35:00;3.97;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-15 00:00:00;2014-02-15 16:15:00;5.78;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-16 00:00:00;2014-02-16 16:15:00;4.02;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-17 00:00:00;2014-02-17 16:15:00;5.72;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-18 00:00:00;2014-02-18 16:15:00;4.77;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-19 00:00:00;2014-02-19 17:25:00;4.85;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-20 00:00:00;2014-02-20 15:25:00;5.83;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-21 00:00:00;2014-02-21 15:55:00;4.00;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-22 00:00:00;2014-02-22 15:05:00;5.06;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-23 00:00:00;2014-02-23 15:05:00;6.12;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-24 00:00:00;2014-02-24 15:45:00;5.35;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-25 00:00:00;2014-02-25 16:45:00;5.38;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-26 00:00:00;2014-02-26 14:45:00;5.07;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-27 00:00:00;2014-02-27 15:25:00;5.79;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-02-28 00:00:00;2014-02-28 15:55:00;6.21;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-01 00:00:00;2014-03-01 17:05:00;5.60;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-02 00:00:00;2014-03-02 17:25:00;5.10;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-03 00:00:00;2014-03-03 17:05:00;4.67;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-04 00:00:00;2014-03-04 17:15:00;4.81;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-05 00:00:00;2014-03-05 16:05:00;6.94;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-06 00:00:00;2014-03-06 15:15:00;6.14;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-07 00:00:00;2014-03-07 15:45:00;6.98;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-08 00:00:00;2014-03-08 15:45:00;7.26;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-09 00:00:00;2014-03-09 16:05:00;7.18;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-10 00:00:00;2014-03-10 15:35:00;7.20;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-11 00:00:00;2014-03-11 16:05:00;6.81;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-12 00:00:00;2014-03-12 16:25:00;7.22;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-13 00:00:00;2014-03-13 15:55:00;7.44;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-14 00:00:00;2014-03-14 16:45:00;7.55;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-15 00:00:00;2014-03-15 16:15:00;6.14;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-16 00:00:00;2014-03-16 16:05:00;8.16;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-17 00:00:00;2014-03-17 15:55:00;8.10;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-18 00:00:00;2014-03-18 16:15:00;8.05;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-19 00:00:00;2014-03-19 15:35:00;8.37;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-20 00:00:00;2014-03-20 15:55:00;8.50;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-21 00:00:00;2014-03-21 15:45:00;8.68;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-22 00:00:00;2014-03-22 00:00:00;6.40;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-23 00:00:00;2014-03-23 00:00:00;4.71;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-24 00:00:00;2014-03-24 17:05:00;4.98;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-25 00:00:00;2014-03-25 15:35:00;6.52;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-26 00:00:00;2014-03-26 16:15:00;6.88;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-27 00:00:00;2014-03-27 15:45:00;7.73;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-28 00:00:00;2014-03-28 16:05:00;8.67;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-29 00:00:00;2014-03-29 16:05:00;8.57;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-30 00:00:00;2014-03-30 16:15:00;9.00;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-03-31 00:00:00;2014-03-31 15:55:00;9.52;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-01 00:00:00;2014-04-01 16:45:00;10.19;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-02 00:00:00;2014-04-02 16:45:00;10.10;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-03 00:00:00;2014-04-03 16:55:00;7.76;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-04 00:00:00;2014-04-04 16:25:00;10.09;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-05 00:00:00;2014-04-05 16:15:00;8.43;Freigegeben, validierte Daten
Emmenmatt, nur Hauptstation;2070;Wassertemperatur;Tagesmaxima;°C;Emme;2014-04-06 00:00:00;2014-04-06 15:45:00;10.33;Freigegeben, validierte Daten
