Stationsnummer: 2084
Stationsname: Ingenbohl
DBLH-Nr: 00284
Gewässer: Muota
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-01 00:00:00;;3.49;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-02 00:00:00;;4.00;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-03 00:00:00;;4.06;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-04 00:00:00;;4.60;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-05 00:00:00;;4.79;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-06 00:00:00;;4.26;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-07 00:00:00;;4.59;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-08 00:00:00;;4.76;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-09 00:00:00;;4.69;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-10 00:00:00;;5.35;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-11 00:00:00;;4.83;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-12 00:00:00;;4.81;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-13 00:00:00;;4.60;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-14 00:00:00;;4.46;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-15 00:00:00;;4.29;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-16 00:00:00;;4.72;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-17 00:00:00;;5.20;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-18 00:00:00;;4.43;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-19 00:00:00;;4.44;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-20 00:00:00;;4.85;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-21 00:00:00;;5.08;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-22 00:00:00;;4.94;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-23 00:00:00;;4.24;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-24 00:00:00;;4.20;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-25 00:00:00;;3.31;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-26 00:00:00;;3.71;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-27 00:00:00;;4.46;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-28 00:00:00;;4.07;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-29 00:00:00;;3.14;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-30 00:00:00;;3.31;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-01-31 00:00:00;;3.56;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-01 00:00:00;;3.56;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-02 00:00:00;;3.89;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-03 00:00:00;;4.43;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-04 00:00:00;;4.61;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-05 00:00:00;;4.35;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-06 00:00:00;;4.54;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-07 00:00:00;;4.44;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-08 00:00:00;;4.38;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-09 00:00:00;;4.62;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-10 00:00:00;;4.59;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-11 00:00:00;;5.09;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-12 00:00:00;;4.53;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-13 00:00:00;;4.39;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-14 00:00:00;;4.43;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-15 00:00:00;;5.14;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-16 00:00:00;;5.22;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-17 00:00:00;;5.39;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-18 00:00:00;;4.86;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-19 00:00:00;;5.15;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-20 00:00:00;;5.37;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-21 00:00:00;;5.11;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-22 00:00:00;;5.61;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-23 00:00:00;;5.47;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-24 00:00:00;;4.99;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-25 00:00:00;;4.83;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-26 00:00:00;;5.56;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-27 00:00:00;;6.07;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-02-28 00:00:00;;6.05;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-01 00:00:00;;5.85;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-02 00:00:00;;5.64;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-03 00:00:00;;5.37;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-04 00:00:00;;5.43;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-05 00:00:00;;5.86;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-06 00:00:00;;6.33;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-07 00:00:00;;6.12;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-08 00:00:00;;6.18;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-09 00:00:00;;6.10;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-10 00:00:00;;6.48;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-11 00:00:00;;6.57;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-12 00:00:00;;6.41;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-13 00:00:00;;6.79;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-14 00:00:00;;7.09;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-15 00:00:00;;7.01;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-16 00:00:00;;7.58;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-17 00:00:00;;7.49;Freigegeben, validierte Daten
Ingenbohl;2084;Wassertemperatur;Tagesmittel;°C;Muota;2014-03-18 00:00:00;;7.34;Freigegeben, validierte Daten
