Stationsnummer: 2085
Stationsname: Hagneck
DBLH-Nr: 00292
Gewässer: Aare
Exportperiode: 2019-01-01-2022-01-13
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-01 00:00:00;2019-01-01 23:40:00;7.94;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-02 00:00:00;2019-01-02 16:00:00;8.30;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-03 00:00:00;2019-01-03 14:30:00;8.08;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-04 00:00:00;2019-01-04 15:30:00;7.73;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-05 00:00:00;2019-01-05 13:30:00;7.59;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-06 00:00:00;2019-01-06 15:40:00;7.53;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-07 00:00:00;2019-01-07 13:30:00;7.28;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-08 00:00:00;2019-01-08 20:10:00;7.30;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-09 00:00:00;2019-01-09 21:30:00;7.39;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-10 00:00:00;2019-01-10 15:30:00;7.52;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-11 00:00:00;2019-01-11 15:40:00;7.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-12 00:00:00;2019-01-13 00:00:00;6.93;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-13 00:00:00;2019-01-13 16:00:00;7.28;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-14 00:00:00;2019-01-14 13:30:00;7.28;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-15 00:00:00;2019-01-15 15:30:00;7.16;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-16 00:00:00;2019-01-16 15:30:00;7.14;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-17 00:00:00;2019-01-17 00:10:00;7.01;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-18 00:00:00;2019-01-18 17:00:00;7.22;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-19 00:00:00;2019-01-19 00:30:00;6.42;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-20 00:00:00;2019-01-20 16:40:00;7.02;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-21 00:00:00;2019-01-21 14:30:00;7.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-22 00:00:00;2019-01-22 20:30:00;6.70;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-23 00:00:00;2019-01-23 16:00:00;6.78;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-24 00:00:00;2019-01-24 14:00:00;6.20;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-25 00:00:00;2019-01-25 15:40:00;6.26;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-26 00:00:00;2019-01-27 00:00:00;5.95;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-27 00:00:00;2019-01-27 15:40:00;7.11;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-28 00:00:00;2019-01-28 12:30:00;7.04;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-29 00:00:00;2019-01-29 18:50:00;6.90;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-30 00:00:00;2019-01-30 18:00:00;7.11;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-01-31 00:00:00;2019-01-31 18:50:00;6.63;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-01 00:00:00;2019-02-01 23:50:00;6.64;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-02 00:00:00;2019-02-02 12:30:00;6.94;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-03 00:00:00;2019-02-03 20:30:00;7.32;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-04 00:00:00;2019-02-04 00:00:00;7.16;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-05 00:00:00;2019-02-05 16:20:00;6.66;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-06 00:00:00;2019-02-06 16:30:00;6.66;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-07 00:00:00;2019-02-07 16:20:00;7.07;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-08 00:00:00;2019-02-08 18:30:00;6.69;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-09 00:00:00;2019-02-09 20:40:00;6.87;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-10 00:00:00;2019-02-10 12:30:00;7.08;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-11 00:00:00;2019-02-11 06:40:00;7.31;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-12 00:00:00;2019-02-12 15:10:00;6.67;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-13 00:00:00;2019-02-13 16:30:00;6.99;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-14 00:00:00;2019-02-14 16:10:00;7.10;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-15 00:00:00;2019-02-15 15:10:00;7.16;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-16 00:00:00;2019-02-16 23:40:00;6.82;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-17 00:00:00;2019-02-17 16:00:00;7.82;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-18 00:00:00;2019-02-18 11:30:00;7.54;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-19 00:00:00;2019-02-19 17:00:00;7.57;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-20 00:00:00;2019-02-20 15:30:00;7.75;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-21 00:00:00;2019-02-21 16:50:00;7.75;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-22 00:00:00;2019-02-22 15:00:00;8.09;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-23 00:00:00;2019-02-23 18:10:00;7.87;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-24 00:00:00;2019-02-24 16:00:00;8.54;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-25 00:00:00;2019-02-25 15:40:00;8.47;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-26 00:00:00;2019-02-26 14:30:00;8.28;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-27 00:00:00;2019-02-27 14:30:00;8.20;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-02-28 00:00:00;2019-02-28 15:00:00;8.39;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-01 00:00:00;2019-03-01 01:50:00;8.42;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-02 00:00:00;2019-03-02 17:00:00;8.42;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-03 00:00:00;2019-03-03 18:00:00;8.84;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-04 00:00:00;2019-03-04 04:40:00;9.03;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-05 00:00:00;2019-03-05 23:50:00;8.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-06 00:00:00;2019-03-06 00:00:00;8.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-07 00:00:00;2019-03-07 13:30:00;8.55;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-08 00:00:00;2019-03-08 13:10:00;8.11;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-09 00:00:00;2019-03-09 21:40:00;8.50;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmaxima;°C;Aare;2019-03-10 00:00:00;2019-03-10 16:40:00;8.89;Freigegeben, provisorische Daten
