Stationsnummer: 2085
Stationsname: Hagneck
DBLH-Nr: 00292
Gewässer: Aare
Exportperiode: 2019-01-01-2022-01-13
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-01 00:00:00;;7.58;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-02 00:00:00;;8.12;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-03 00:00:00;;7.86;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-04 00:00:00;;7.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-05 00:00:00;;7.33;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-06 00:00:00;;7.23;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-07 00:00:00;;7.15;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-08 00:00:00;;6.91;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-09 00:00:00;;6.92;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-10 00:00:00;;6.78;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-11 00:00:00;;6.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-12 00:00:00;;6.48;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-13 00:00:00;;7.14;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-14 00:00:00;;7.14;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-15 00:00:00;;6.94;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-16 00:00:00;;6.92;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-17 00:00:00;;6.82;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-18 00:00:00;;6.84;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-19 00:00:00;;5.86;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-20 00:00:00;;6.64;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-21 00:00:00;;6.90;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-22 00:00:00;;6.12;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-23 00:00:00;;5.88;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-24 00:00:00;;5.26;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-25 00:00:00;;5.09;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-26 00:00:00;;5.43;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-27 00:00:00;;6.66;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-28 00:00:00;;6.44;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-29 00:00:00;;5.63;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-30 00:00:00;;5.59;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-31 00:00:00;;5.37;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-01 00:00:00;;5.66;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-02 00:00:00;;6.34;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-03 00:00:00;;6.87;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-04 00:00:00;;6.26;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-05 00:00:00;;5.30;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-06 00:00:00;;5.43;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-07 00:00:00;;5.52;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-08 00:00:00;;5.59;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-09 00:00:00;;6.00;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-10 00:00:00;;6.88;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-11 00:00:00;;5.85;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-12 00:00:00;;5.44;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-13 00:00:00;;5.98;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-14 00:00:00;;5.96;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-15 00:00:00;;5.88;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-16 00:00:00;;5.80;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-17 00:00:00;;7.20;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-18 00:00:00;;6.96;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-19 00:00:00;;6.40;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-20 00:00:00;;6.48;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-21 00:00:00;;6.54;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-22 00:00:00;;6.91;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-23 00:00:00;;7.22;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-24 00:00:00;;8.02;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-25 00:00:00;;7.74;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-26 00:00:00;;6.62;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-27 00:00:00;;6.18;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-02-28 00:00:00;;6.59;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-01 00:00:00;;6.95;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-02 00:00:00;;6.92;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-03 00:00:00;;8.17;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-04 00:00:00;;8.35;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-05 00:00:00;;7.40;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-06 00:00:00;;6.93;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-07 00:00:00;;6.90;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-08 00:00:00;;6.83;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-09 00:00:00;;7.21;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-10 00:00:00;;8.38;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-11 00:00:00;;7.07;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-12 00:00:00;;6.65;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-13 00:00:00;;6.77;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-14 00:00:00;;6.42;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-15 00:00:00;;6.66;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-16 00:00:00;;7.36;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-17 00:00:00;;7.60;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-18 00:00:00;;7.26;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-19 00:00:00;;7.18;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-20 00:00:00;;7.07;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-21 00:00:00;;7.15;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-22 00:00:00;;7.38;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-23 00:00:00;;7.82;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-24 00:00:00;;9.60;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-25 00:00:00;;9.50;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-26 00:00:00;;8.35;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-27 00:00:00;;8.83;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-28 00:00:00;;8.43;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-29 00:00:00;;8.40;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-30 00:00:00;;9.03;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-03-31 00:00:00;;10.41;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-01 00:00:00;;9.95;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-02 00:00:00;;9.55;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-03 00:00:00;;9.09;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-04 00:00:00;;8.56;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-05 00:00:00;;8.75;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-06 00:00:00;;8.49;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-07 00:00:00;;9.09;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-08 00:00:00;;9.10;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-09 00:00:00;;9.13;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-10 00:00:00;;9.08;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-11 00:00:00;;9.41;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-12 00:00:00;;9.84;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-13 00:00:00;;10.05;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-14 00:00:00;;9.96;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-15 00:00:00;;9.73;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-16 00:00:00;;9.82;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-17 00:00:00;;9.88;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-18 00:00:00;;10.60;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-19 00:00:00;;11.16;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-20 00:00:00;;11.71;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-21 00:00:00;;12.98;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-22 00:00:00;;13.42;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-23 00:00:00;;13.35;Freigegeben, provisorische Daten
Hagneck;2085;Wassertemperatur;Tagesmittel;°C;Aare;2019-04-24 00:00:00;;12.65;Freigegeben, provisorische Daten
