Stationsnummer: 2091
Stationsname: Rheinfelden, Messstation
DBLH-Nr: 00323
Gewässer: Rhein
Exportperiode: 2018-01-01-2022-03-26
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-01 00:00:00;2018-01-01 01:40:00;6.50;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-02 00:00:00;2018-01-02 02:40:00;6.40;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-03 00:00:00;2018-01-03 15:10:00;6.52;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-04 00:00:00;2018-01-04 23:50:00;6.64;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-05 00:00:00;2018-01-05 12:20:00;6.81;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-06 00:00:00;2018-01-06 14:30:00;7.14;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-07 00:00:00;2018-01-07 15:20:00;7.13;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-08 00:00:00;2018-01-08 00:00:00;6.96;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-09 00:00:00;2018-01-09 00:00:00;6.73;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-10 00:00:00;2018-01-10 00:10:00;6.58;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-11 00:00:00;2018-01-12 00:00:00;6.59;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-12 00:00:00;2018-01-12 15:50:00;6.66;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-13 00:00:00;2018-01-13 00:50:00;6.58;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-14 00:00:00;2018-01-14 01:30:00;6.38;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-15 00:00:00;2018-01-15 17:50:00;6.07;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-16 00:00:00;2018-01-16 18:20:00;6.33;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-17 00:00:00;2018-01-17 03:10:00;6.37;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-18 00:00:00;2018-01-18 00:00:00;6.19;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-19 00:00:00;2018-01-19 23:50:00;6.11;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-20 00:00:00;2018-01-20 15:30:00;6.20;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-21 00:00:00;2018-01-21 15:10:00;6.22;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-22 00:00:00;2018-01-22 22:10:00;6.29;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-23 00:00:00;2018-01-23 17:30:00;6.40;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-24 00:00:00;2018-01-24 14:00:00;6.65;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-25 00:00:00;2018-01-25 00:00:00;6.53;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-26 00:00:00;2018-01-26 13:00:00;6.55;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-27 00:00:00;2018-01-27 17:20:00;6.70;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-28 00:00:00;2018-01-28 23:30:00;6.84;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-29 00:00:00;2018-01-29 00:10:00;6.84;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-30 00:00:00;2018-01-30 16:00:00;6.82;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-31 00:00:00;2018-01-31 23:30:00;6.92;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-01 00:00:00;2018-02-01 00:10:00;6.92;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-02 00:00:00;2018-02-02 00:00:00;6.65;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-03 00:00:00;2018-02-03 00:00:00;6.28;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-04 00:00:00;2018-02-04 15:50:00;6.11;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-05 00:00:00;2018-02-05 00:50:00;6.12;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-06 00:00:00;2018-02-06 00:00:00;5.98;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-07 00:00:00;2018-02-07 01:40:00;5.74;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-08 00:00:00;2018-02-08 19:20:00;5.69;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-09 00:00:00;2018-02-09 14:20:00;5.90;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-10 00:00:00;2018-02-10 02:50:00;5.83;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-11 00:00:00;2018-02-11 05:20:00;5.81;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-12 00:00:00;2018-02-12 05:00:00;5.85;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-13 00:00:00;2018-02-13 00:00:00;5.70;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-14 00:00:00;2018-02-14 06:20:00;5.58;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-15 00:00:00;2018-02-15 06:30:00;5.36;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-16 00:00:00;2018-02-17 00:00:00;5.66;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-17 00:00:00;2018-02-17 02:00:00;5.73;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-18 00:00:00;2018-02-18 19:40:00;5.74;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-19 00:00:00;2018-02-19 00:00:00;5.67;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-20 00:00:00;2018-02-20 17:20:00;5.53;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-21 00:00:00;2018-02-21 04:10:00;5.43;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-22 00:00:00;2018-02-22 00:00:00;5.29;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-23 00:00:00;2018-02-23 00:00:00;4.78;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-24 00:00:00;2018-02-24 15:50:00;4.48;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-25 00:00:00;2018-02-25 00:00:00;4.36;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-26 00:00:00;2018-02-26 00:00:00;4.07;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-27 00:00:00;2018-02-27 07:20:00;3.47;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-02-28 00:00:00;2018-02-28 14:30:00;3.05;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-01 00:00:00;2018-03-01 15:10:00;3.14;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-02 00:00:00;2018-03-02 10:50:00;3.28;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-03 00:00:00;2018-03-03 23:40:00;3.76;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-04 00:00:00;2018-03-04 23:10:00;4.54;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-05 00:00:00;2018-03-05 14:50:00;5.22;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-06 00:00:00;2018-03-06 15:00:00;5.50;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-07 00:00:00;2018-03-07 16:20:00;5.69;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-08 00:00:00;2018-03-08 16:30:00;6.00;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-09 00:00:00;2018-03-09 15:50:00;6.22;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-10 00:00:00;2018-03-10 15:30:00;6.28;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-11 00:00:00;2018-03-11 11:40:00;6.37;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-12 00:00:00;2018-03-12 13:20:00;6.40;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-13 00:00:00;2018-03-13 14:30:00;6.37;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-14 00:00:00;2018-03-14 16:20:00;6.69;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-15 00:00:00;2018-03-15 22:10:00;6.68;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-16 00:00:00;2018-03-16 14:40:00;6.74;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-17 00:00:00;2018-03-17 08:50:00;6.50;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-18 00:00:00;2018-03-18 12:50:00;6.27;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-19 00:00:00;2018-03-19 00:00:00;5.99;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-20 00:00:00;2018-03-20 15:30:00;5.72;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-21 00:00:00;2018-03-21 17:30:00;6.04;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-22 00:00:00;2018-03-22 16:20:00;6.04;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-23 00:00:00;2018-03-23 19:40:00;6.29;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-24 00:00:00;2018-03-24 19:00:00;6.93;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-25 00:00:00;2018-03-25 20:50:00;7.53;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-26 00:00:00;2018-03-26 21:20:00;8.01;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-27 00:00:00;2018-03-27 22:00:00;8.17;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-28 00:00:00;2018-03-28 00:00:00;8.16;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-29 00:00:00;2018-03-29 16:30:00;8.22;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-30 00:00:00;2018-03-30 16:00:00;7.98;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-03-31 00:00:00;2018-03-31 00:00:00;7.88;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-01 00:00:00;2018-04-01 00:00:00;7.58;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-02 00:00:00;2018-04-03 00:00:00;7.40;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-03 00:00:00;2018-04-03 23:20:00;8.11;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-04 00:00:00;2018-04-04 23:50:00;8.62;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-05 00:00:00;2018-04-05 05:20:00;8.81;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-06 00:00:00;2018-04-06 14:50:00;8.91;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-07 00:00:00;2018-04-07 15:20:00;9.23;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-08 00:00:00;2018-04-08 12:40:00;9.58;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-09 00:00:00;2018-04-09 23:50:00;9.89;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-10 00:00:00;2018-04-10 11:10:00;10.15;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-11 00:00:00;2018-04-11 04:10:00;10.20;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-12 00:00:00;2018-04-12 03:20:00;10.25;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-13 00:00:00;2018-04-13 17:10:00;10.42;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-14 00:00:00;2018-04-15 00:00:00;10.49;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-15 00:00:00;2018-04-15 00:00:00;10.49;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-16 00:00:00;2018-04-16 00:00:00;10.73;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-17 00:00:00;2018-04-17 17:50:00;11.27;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-18 00:00:00;2018-04-18 17:10:00;11.82;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-19 00:00:00;2018-04-19 21:20:00;12.53;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-20 00:00:00;2018-04-20 20:50:00;12.75;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-21 00:00:00;2018-04-21 21:10:00;13.12;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-22 00:00:00;2018-04-23 00:00:00;13.79;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-23 00:00:00;2018-04-23 23:20:00;14.16;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-24 00:00:00;2018-04-24 00:10:00;14.17;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-25 00:00:00;2018-04-26 00:00:00;14.02;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-26 00:00:00;2018-04-26 16:50:00;14.36;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-27 00:00:00;2018-04-27 00:00:00;13.77;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-28 00:00:00;2018-04-29 00:00:00;13.81;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-29 00:00:00;2018-04-29 16:20:00;14.59;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-04-30 00:00:00;2018-04-30 14:40:00;14.48;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-01 00:00:00;2018-05-01 01:50:00;14.53;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-02 00:00:00;2018-05-02 00:00:00;12.90;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-03 00:00:00;2018-05-04 00:00:00;12.86;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-04 00:00:00;2018-05-04 16:10:00;13.06;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-05 00:00:00;2018-05-06 00:00:00;14.02;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-06 00:00:00;2018-05-06 23:00:00;14.81;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-07 00:00:00;2018-05-07 23:30:00;15.14;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-08 00:00:00;2018-05-08 21:50:00;15.52;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-09 00:00:00;2018-05-09 18:30:00;15.54;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-10 00:00:00;2018-05-10 00:00:00;15.52;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-11 00:00:00;2018-05-11 00:00:00;15.11;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-12 00:00:00;2018-05-13 00:00:00;15.73;Freigegeben, provisorische Daten
Rheinfelden, Messstation;2091;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-05-13 00:00:00;2018-05-13 04:30:00;16.02;Freigegeben, provisorische Daten
