Stationsnummer: 2104
Stationsname: Weesen, Biäsche
DBLH-Nr: 00377
Gewässer: Linth
Exportperiode: 2019-01-01-2022-04-08
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-01 00:00:00;2019-01-01 14:20:00;6.91;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-02 00:00:00;2019-01-02 00:00:00;6.88;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-03 00:00:00;2019-01-03 23:50:00;6.19;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-04 00:00:00;2019-01-04 14:50:00;6.43;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-05 00:00:00;2019-01-05 07:50:00;6.47;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-06 00:00:00;2019-01-06 03:20:00;6.42;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-07 00:00:00;2019-01-07 13:20:00;6.41;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-08 00:00:00;2019-01-08 14:30:00;6.47;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-09 00:00:00;2019-01-09 01:10:00;6.43;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-10 00:00:00;2019-01-10 12:50:00;5.85;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-11 00:00:00;2019-01-11 14:40:00;6.11;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-12 00:00:00;2019-01-12 15:10:00;6.23;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-13 00:00:00;2019-01-13 08:00:00;6.17;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-14 00:00:00;2019-01-14 02:00:00;6.18;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-15 00:00:00;2019-01-15 14:20:00;6.08;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-16 00:00:00;2019-01-16 14:50:00;5.98;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-17 00:00:00;2019-01-17 13:00:00;6.02;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-18 00:00:00;2019-01-18 14:20:00;6.04;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Wassertemperatur;Tagesmaxima;°C;Linth;2019-01-19 00:00:00;2019-01-19 14:20:00;5.97;Freigegeben, provisorische Daten
