Stationsnummer: 2106
Stationsname: Münchenstein, Hofmatt
DBLH-Nr: 00380
Gewässer: Birs
Exportperiode: 2019-01-01-2022-03-09
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-01 00:00:00;2019-01-01 16:10:00;7.65;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-02 00:00:00;2019-01-02 00:10:00;7.56;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-03 00:00:00;2019-01-03 00:00:00;6.65;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-04 00:00:00;2019-01-04 00:00:00;5.22;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-05 00:00:00;2019-01-05 23:10:00;4.94;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-06 00:00:00;2019-01-06 20:20:00;5.77;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-07 00:00:00;2019-01-07 15:30:00;6.20;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-08 00:00:00;2019-01-08 15:30:00;6.35;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-09 00:00:00;2019-01-09 13:30:00;6.07;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-10 00:00:00;2019-01-10 00:10:00;5.57;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-11 00:00:00;2019-01-11 17:10:00;4.79;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-12 00:00:00;2019-01-12 18:50:00;5.20;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-13 00:00:00;2019-01-14 00:00:00;6.59;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-14 00:00:00;2019-01-14 15:10:00;7.06;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-15 00:00:00;2019-01-15 00:00:00;6.98;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-16 00:00:00;2019-01-16 00:00:00;6.50;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-17 00:00:00;2019-01-17 23:50:00;6.44;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-18 00:00:00;2019-01-18 01:20:00;6.48;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-19 00:00:00;2019-01-19 00:00:00;5.27;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-20 00:00:00;2019-01-20 15:50:00;4.37;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-21 00:00:00;2019-01-21 15:50:00;4.82;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-22 00:00:00;2019-01-22 15:20:00;5.32;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-23 00:00:00;2019-01-23 15:00:00;4.84;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-24 00:00:00;2019-01-24 16:40:00;4.42;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-25 00:00:00;2019-01-25 15:20:00;4.46;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-26 00:00:00;2019-01-26 17:00:00;4.41;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-27 00:00:00;2019-01-27 19:00:00;5.50;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-28 00:00:00;2019-01-28 16:00:00;5.85;Freigegeben, provisorische Daten
Münchenstein, Hofmatt;2106;Wassertemperatur;Tagesmaxima;°C;Birs;2019-01-29 00:00:00;2019-01-29 14:20:00;5.64;Freigegeben, provisorische Daten
