Stationsnummer: 2109
Stationsname: Gsteig
DBLH-Nr: 00387
Gewässer: Lütschine
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-01 00:00:00;2014-01-01 13:55:00;3.39;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-02 00:00:00;2014-01-02 14:25:00;3.98;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-03 00:00:00;2014-01-04 00:00:00;4.35;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-04 00:00:00;2014-01-04 16:45:00;4.90;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-05 00:00:00;2014-01-05 12:25:00;4.70;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-06 00:00:00;2014-01-06 21:05:00;4.07;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-07 00:00:00;2014-01-07 16:15:00;4.35;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-08 00:00:00;2014-01-08 16:15:00;5.17;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-09 00:00:00;2014-01-10 00:00:00;4.95;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-10 00:00:00;2014-01-10 15:25:00;5.66;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-11 00:00:00;2014-01-11 19:45:00;5.28;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-12 00:00:00;2014-01-12 00:00:00;4.83;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-13 00:00:00;2014-01-14 00:00:00;4.20;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-14 00:00:00;2014-01-14 00:05:00;4.20;Freigegeben, validierte Daten
Gsteig;2109;Wassertemperatur;Tagesmaxima;°C;Lütschine;2014-01-15 00:00:00;2014-01-15 16:05:00;4.37;Freigegeben, validierte Daten
