Stationsnummer: 2112
Stationsname: Appenzell
DBLH-Nr: 00886
Gewässer: Sitter
Exportperiode: 2021-09-29-2022-01-06
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-09-29 00:00:00;2021-09-29 13:20:00;12.34;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-09-30 00:00:00;2021-09-30 14:10:00;11.00;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-01 00:00:00;2021-10-01 15:30:00;11.69;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-02 00:00:00;2021-10-02 14:30:00;12.94;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-03 00:00:00;2021-10-03 15:00:00;12.68;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-04 00:00:00;2021-10-04 00:00:00;11.57;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-05 00:00:00;2021-10-05 15:20:00;11.29;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-06 00:00:00;2021-10-06 00:00:00;10.54;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-07 00:00:00;2021-10-07 13:50:00;9.74;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-08 00:00:00;2021-10-08 14:00:00;10.13;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-09 00:00:00;2021-10-09 16:30:00;9.92;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-10 00:00:00;2021-10-10 17:10:00;8.72;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-11 00:00:00;2021-10-11 14:50:00;8.91;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-12 00:00:00;2021-10-12 16:50:00;8.00;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-13 00:00:00;2021-10-13 14:10:00;8.76;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-14 00:00:00;2021-10-14 14:50:00;8.32;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-15 00:00:00;2021-10-15 14:50:00;9.06;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-16 00:00:00;2021-10-16 14:50:00;8.99;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-17 00:00:00;2021-10-17 14:50:00;9.17;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-18 00:00:00;2021-10-18 14:40:00;9.33;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-19 00:00:00;2021-10-19 16:30:00;9.52;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-20 00:00:00;2021-10-20 15:50:00;10.71;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-21 00:00:00;2021-10-21 08:40:00;9.61;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-22 00:00:00;2021-10-22 14:50:00;8.57;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-23 00:00:00;2021-10-23 14:00:00;8.18;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-24 00:00:00;2021-10-24 14:50:00;7.92;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-25 00:00:00;2021-10-25 15:30:00;8.29;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-26 00:00:00;2021-10-26 16:00:00;8.84;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-27 00:00:00;2021-10-27 14:50:00;8.46;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-28 00:00:00;2021-10-28 15:00:00;7.99;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-29 00:00:00;2021-10-29 16:00:00;7.67;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-30 00:00:00;2021-10-30 16:30:00;8.06;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-10-31 00:00:00;2021-10-31 14:50:00;10.18;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-01 00:00:00;2021-11-01 00:00:00;8.26;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-02 00:00:00;2021-11-02 15:10:00;8.07;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-03 00:00:00;2021-11-03 17:00:00;6.89;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-04 00:00:00;2021-11-04 15:10:00;7.03;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-05 00:00:00;2021-11-05 15:40:00;7.20;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-06 00:00:00;2021-11-06 14:30:00;5.86;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-07 00:00:00;2021-11-07 16:00:00;5.30;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-08 00:00:00;2021-11-08 14:10:00;6.76;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-09 00:00:00;2021-11-09 14:10:00;6.11;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-10 00:00:00;2021-11-10 16:10:00;6.75;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-11 00:00:00;2021-11-11 14:30:00;7.36;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-12 00:00:00;2021-11-12 14:20:00;6.97;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-13 00:00:00;2021-11-14 00:00:00;6.76;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-14 00:00:00;2021-11-14 15:20:00;7.35;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-15 00:00:00;2021-11-15 14:00:00;6.89;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-16 00:00:00;2021-11-16 00:00:00;6.31;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-17 00:00:00;2021-11-17 14:10:00;6.15;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-18 00:00:00;2021-11-18 16:00:00;6.45;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-19 00:00:00;2021-11-19 15:10:00;5.64;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-20 00:00:00;2021-11-20 16:30:00;4.90;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-21 00:00:00;2021-11-21 14:30:00;4.97;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-22 00:00:00;2021-11-22 14:20:00;4.97;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-23 00:00:00;2021-11-23 15:20:00;5.30;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-24 00:00:00;2021-11-24 15:10:00;5.31;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-25 00:00:00;2021-11-25 18:30:00;4.45;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-26 00:00:00;2021-11-26 00:00:00;4.32;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-27 00:00:00;2021-11-27 14:10:00;3.29;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-28 00:00:00;2021-11-28 15:30:00;3.43;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-29 00:00:00;2021-11-29 16:20:00;2.17;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-11-30 00:00:00;2021-12-01 00:00:00;3.90;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-01 00:00:00;2021-12-01 16:10:00;5.32;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-02 00:00:00;2021-12-02 14:30:00;5.31;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-03 00:00:00;2021-12-03 12:50:00;3.47;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-04 00:00:00;2021-12-04 22:00:00;5.06;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-05 00:00:00;2021-12-05 13:20:00;4.98;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-06 00:00:00;2021-12-06 12:20:00;4.54;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-07 00:00:00;2021-12-07 14:00:00;3.94;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-08 00:00:00;2021-12-08 08:10:00;2.97;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-09 00:00:00;2021-12-09 20:20:00;2.24;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-10 00:00:00;2021-12-10 00:00:00;2.02;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-11 00:00:00;2021-12-11 15:50:00;2.80;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-12 00:00:00;2021-12-12 23:40:00;3.07;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-13 00:00:00;2021-12-13 14:50:00;3.87;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-14 00:00:00;2021-12-14 15:30:00;4.27;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-15 00:00:00;2021-12-15 15:00:00;3.99;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-16 00:00:00;2021-12-16 15:30:00;3.84;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-17 00:00:00;2021-12-17 00:00:00;3.11;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-18 00:00:00;2021-12-18 15:00:00;2.97;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-19 00:00:00;2021-12-19 15:00:00;1.85;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-20 00:00:00;2021-12-20 14:10:00;2.34;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-21 00:00:00;2021-12-21 14:50:00;2.60;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-22 00:00:00;2021-12-22 14:20:00;1.49;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-23 00:00:00;2021-12-23 23:30:00;2.50;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-24 00:00:00;2021-12-24 15:10:00;3.40;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-25 00:00:00;2021-12-25 16:00:00;4.56;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmaxima;°C;Sitter;2021-12-26 00:00:00;2021-12-26 15:20:00;5.08;Freigegeben, provisorische Daten
