Stationsnummer: 2112
Stationsname: Appenzell
DBLH-Nr: 00886
Gewässer: Sitter
Exportperiode: 2021-09-29-2022-01-06
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-09-29 00:00:00;;11.46;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-09-30 00:00:00;;9.90;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-01 00:00:00;;9.66;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-02 00:00:00;;10.88;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-03 00:00:00;;11.48;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-04 00:00:00;;11.01;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-05 00:00:00;;10.74;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-06 00:00:00;;9.31;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-07 00:00:00;;8.87;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-08 00:00:00;;8.74;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-09 00:00:00;;8.79;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-10 00:00:00;;7.70;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-11 00:00:00;;7.14;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-12 00:00:00;;7.05;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-13 00:00:00;;7.82;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-14 00:00:00;;6.84;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-15 00:00:00;;7.14;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-16 00:00:00;;7.39;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-17 00:00:00;;7.37;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-18 00:00:00;;7.37;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-19 00:00:00;;7.84;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-20 00:00:00;;8.76;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-21 00:00:00;;8.83;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-22 00:00:00;;7.69;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-23 00:00:00;;6.93;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-24 00:00:00;;6.03;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-25 00:00:00;;6.54;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-26 00:00:00;;7.22;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-27 00:00:00;;6.83;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-28 00:00:00;;6.14;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-29 00:00:00;;6.10;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-30 00:00:00;;6.91;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-10-31 00:00:00;;8.48;Freigegeben, provisorische Daten
Appenzell;2112;Wassertemperatur;Tagesmittel;°C;Sitter;2021-11-01 00:00:00;;7.61;Freigegeben, provisorische Daten
