Stationsnummer: 2113
Stationsname: Felsenau, K.W. Klingnau (U.W.)
DBLH-Nr: 00409
Gewässer: Aare
Exportperiode: 2021-04-30-2022-03-03
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-04-30 00:00:00;2021-04-30 00:00:00;12.51;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-01 00:00:00;2021-05-01 11:10:00;12.64;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-02 00:00:00;2021-05-02 00:00:00;12.01;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-03 00:00:00;2021-05-03 18:20:00;11.56;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-04 00:00:00;2021-05-04 18:10:00;12.58;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-05 00:00:00;2021-05-05 17:30:00;13.16;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-06 00:00:00;2021-05-06 00:00:00;12.59;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-07 00:00:00;2021-05-07 18:00:00;11.30;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-08 00:00:00;2021-05-08 17:10:00;11.90;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-09 00:00:00;2021-05-09 18:50:00;13.44;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-10 00:00:00;2021-05-10 15:50:00;13.71;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-11 00:00:00;2021-05-11 03:10:00;13.29;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-12 00:00:00;2021-05-12 18:20:00;12.03;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-13 00:00:00;2021-05-13 15:20:00;12.02;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-14 00:00:00;2021-05-14 18:40:00;12.14;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-15 00:00:00;2021-05-15 12:50:00;12.30;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-16 00:00:00;2021-05-16 15:10:00;12.03;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-17 00:00:00;2021-05-17 00:00:00;11.89;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-18 00:00:00;2021-05-18 16:30:00;11.78;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-19 00:00:00;2021-05-19 00:00:00;11.56;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-20 00:00:00;2021-05-20 20:40:00;12.03;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-21 00:00:00;2021-05-21 14:20:00;12.12;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-22 00:00:00;2021-05-22 16:10:00;12.24;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-23 00:00:00;2021-05-23 18:40:00;12.80;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-24 00:00:00;2021-05-24 00:00:00;12.66;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-25 00:00:00;2021-05-25 17:10:00;12.99;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-26 00:00:00;2021-05-26 00:00:00;12.74;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-27 00:00:00;2021-05-27 17:40:00;13.17;Freigegeben, provisorische Daten
Felsenau, K.W. Klingnau (U.W.);2113;Wassertemperatur;Tagesmaxima;°C;Aare;2021-05-28 00:00:00;2021-05-28 18:50:00;14.09;Freigegeben, provisorische Daten
