Stationsnummer: 2126
Stationsname: Wängi
DBLH-Nr: 00528
Gewässer: Murg
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-01 00:00:00;2014-01-01 18:35:00;5.35;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-02 00:00:00;2014-01-02 13:45:00;5.78;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-03 00:00:00;2014-01-03 18:25:00;6.23;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-04 00:00:00;2014-01-04 21:15:00;6.42;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-05 00:00:00;2014-01-05 14:05:00;6.18;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-06 00:00:00;2014-01-06 16:25:00;5.58;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-07 00:00:00;2014-01-07 17:15:00;6.81;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-08 00:00:00;2014-01-08 16:35:00;7.26;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-09 00:00:00;2014-01-09 15:35:00;7.18;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-10 00:00:00;2014-01-10 16:15:00;7.46;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-11 00:00:00;2014-01-11 15:35:00;6.83;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-12 00:00:00;2014-01-12 16:15:00;7.51;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-13 00:00:00;2014-01-13 01:15:00;7.03;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-14 00:00:00;2014-01-14 08:55:00;6.90;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-15 00:00:00;2014-01-15 18:05:00;6.16;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-16 00:00:00;2014-01-16 14:25:00;6.66;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-17 00:00:00;2014-01-17 15:35:00;7.02;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-18 00:00:00;2014-01-18 13:15:00;6.42;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-19 00:00:00;2014-01-19 15:45:00;6.21;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-20 00:00:00;2014-01-20 16:05:00;6.67;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-21 00:00:00;2014-01-21 14:05:00;6.73;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-22 00:00:00;2014-01-22 17:55:00;6.82;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-23 00:00:00;2014-01-23 13:55:00;6.18;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-24 00:00:00;2014-01-24 16:15:00;6.32;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-25 00:00:00;2014-01-25 14:45:00;6.20;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-26 00:00:00;2014-01-26 19:15:00;6.14;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-27 00:00:00;2014-01-27 04:15:00;6.05;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-28 00:00:00;2014-01-28 15:25:00;5.71;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-29 00:00:00;2014-01-29 16:35:00;5.36;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-30 00:00:00;2014-01-30 17:25:00;5.06;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-01-31 00:00:00;2014-01-31 19:15:00;5.96;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-02-01 00:00:00;2014-02-01 19:15:00;6.30;Freigegeben, validierte Daten
Wängi;2126;Wassertemperatur;Tagesmaxima;°C;Murg;2014-02-02 00:00:00;2014-02-02 15:25:00;6.13;Freigegeben, validierte Daten
