Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-01 00:00:00;2014-01-01 15:15:00;6.45;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-02 00:00:00;2014-01-02 16:55:00;6.48;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-03 00:00:00;2014-01-03 17:35:00;6.31;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-04 00:00:00;2014-01-04 18:15:00;6.27;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-05 00:00:00;2014-01-05 15:35:00;6.29;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-06 00:00:00;2014-01-06 16:55:00;6.16;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-07 00:00:00;2014-01-07 15:35:00;6.62;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-08 00:00:00;2014-01-08 16:35:00;6.79;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-09 00:00:00;2014-01-09 16:25:00;6.66;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-10 00:00:00;2014-01-10 17:05:00;6.93;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-11 00:00:00;2014-01-11 15:45:00;6.63;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-12 00:00:00;2014-01-12 15:05:00;6.47;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-13 00:00:00;2014-01-13 14:45:00;6.38;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-14 00:00:00;2014-01-14 16:05:00;6.40;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-15 00:00:00;2014-01-15 16:25:00;6.39;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-16 00:00:00;2014-01-16 16:15:00;6.41;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-17 00:00:00;2014-01-17 15:45:00;6.47;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-18 00:00:00;2014-01-18 00:00:00;6.18;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-19 00:00:00;2014-01-19 14:35:00;6.28;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-20 00:00:00;2014-01-20 18:15:00;6.33;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-21 00:00:00;2014-01-21 00:00:00;6.21;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-22 00:00:00;2014-01-22 15:55:00;6.32;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-23 00:00:00;2014-01-23 17:15:00;6.02;Freigegeben, validierte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmaxima;°C;Aare;2014-01-24 00:00:00;2014-01-24 17:25:00;6.08;Freigegeben, validierte Daten
