Stationsnummer: 2139
Stationsname: St. Margrethen
DBLH-Nr: 00610
Gewässer: Rheintaler Binnenkanal
Exportperiode: 2016-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-01 00:00:00;2016-01-01 18:30:00;7.25;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-02 00:00:00;2016-01-02 20:40:00;7.51;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-03 00:00:00;2016-01-03 00:00:00;7.24;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-04 00:00:00;2016-01-04 15:00:00;7.21;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-05 00:00:00;2016-01-05 17:10:00;6.81;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-06 00:00:00;2016-01-06 19:10:00;6.99;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-07 00:00:00;2016-01-07 18:40:00;6.86;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-08 00:00:00;2016-01-08 20:50:00;6.96;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-09 00:00:00;2016-01-09 00:00:00;6.88;Freigegeben, validierte Daten
St. Margrethen;2139;Wassertemperatur;Tagesmaxima;°C;Rheintaler Binnenkanal;2016-01-10 00:00:00;2016-01-10 21:50:00;6.90;Freigegeben, validierte Daten
