Stationsnummer: 2143
Stationsname: Rekingen
DBLH-Nr: 00621
Gewässer: Rhein
Exportperiode: 2014-01-01-2018-01-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-01 00:00:00;2014-01-01 00:00:00;5.19;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-02 00:00:00;2014-01-02 20:45:00;5.20;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-03 00:00:00;2014-01-03 22:55:00;5.32;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-04 00:00:00;2014-01-05 00:00:00;5.52;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-05 00:00:00;2014-01-05 18:55:00;5.63;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-06 00:00:00;2014-01-06 00:00:00;5.56;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-07 00:00:00;2014-01-07 20:55:00;5.48;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-08 00:00:00;2014-01-08 22:55:00;5.67;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-09 00:00:00;2014-01-09 21:45:00;5.70;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-10 00:00:00;2014-01-10 19:55:00;5.81;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-11 00:00:00;2014-01-11 00:05:00;5.81;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-12 00:00:00;2014-01-13 00:00:00;5.78;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-13 00:00:00;2014-01-13 23:15:00;5.97;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-14 00:00:00;2014-01-14 00:05:00;5.97;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-15 00:00:00;2014-01-15 00:00:00;5.85;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-16 00:00:00;2014-01-17 00:00:00;5.56;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-17 00:00:00;2014-01-17 21:05:00;5.72;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-18 00:00:00;2014-01-18 00:00:00;5.70;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-19 00:00:00;2014-01-19 00:00:00;5.58;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-20 00:00:00;2014-01-20 21:45:00;5.41;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-21 00:00:00;2014-01-21 14:05:00;5.50;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-22 00:00:00;2014-01-22 20:15:00;5.54;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-23 00:00:00;2014-01-23 00:00:00;5.47;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-24 00:00:00;2014-01-24 00:00:00;5.31;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-25 00:00:00;2014-01-25 00:00:00;5.26;Freigegeben, validierte Daten
Rekingen;2143;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-26 00:00:00;2014-01-27 00:00:00;5.14;Freigegeben, validierte Daten
