Stationsnummer: 2143
Stationsname: Rekingen
DBLH-Nr: 00621
Gewässer: Rhein
Exportperiode: 2018-01-01-2022-01-06
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-01 00:00:00;;5.52;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-02 00:00:00;;5.44;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-03 00:00:00;;5.54;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-04 00:00:00;;5.79;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-05 00:00:00;;6.33;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-06 00:00:00;;6.37;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-07 00:00:00;;6.20;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-08 00:00:00;;5.90;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-09 00:00:00;;5.65;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-10 00:00:00;;5.57;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-11 00:00:00;;5.57;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-12 00:00:00;;5.60;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-13 00:00:00;;5.50;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-14 00:00:00;;5.18;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-15 00:00:00;;5.24;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-16 00:00:00;;5.46;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-17 00:00:00;;5.45;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-18 00:00:00;;5.03;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-19 00:00:00;;5.44;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-20 00:00:00;;5.33;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-21 00:00:00;;5.40;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-22 00:00:00;;5.41;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-23 00:00:00;;5.82;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-24 00:00:00;;5.66;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-25 00:00:00;;5.50;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-26 00:00:00;;5.56;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-27 00:00:00;;5.68;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-28 00:00:00;;5.72;Freigegeben, provisorische Daten
Rekingen;2143;Wassertemperatur;Tagesmittel;°C;Rhein;2018-01-29 00:00:00;;5.70;Freigegeben, provisorische Daten
