Stationsnummer: 2152
Stationsname: Luzern, Geissmattbrücke
DBLH-Nr: 00917
Gewässer: Reuss
Exportperiode: 2019-01-01-2022-01-26
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-01 00:00:00;2019-01-01 00:10:00;7.43;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-02 00:00:00;2019-01-02 00:00:00;7.33;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-03 00:00:00;2019-01-03 00:00:00;6.98;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-04 00:00:00;2019-01-04 00:00:00;6.91;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-05 00:00:00;2019-01-05 00:10:00;6.83;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-06 00:00:00;2019-01-06 22:10:00;6.77;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-07 00:00:00;2019-01-07 00:10:00;6.77;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-08 00:00:00;2019-01-08 00:10:00;6.67;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-09 00:00:00;2019-01-09 00:00:00;6.57;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-10 00:00:00;2019-01-10 14:00:00;6.30;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-11 00:00:00;2019-01-11 00:10:00;6.26;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-12 00:00:00;2019-01-12 23:00:00;6.35;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-13 00:00:00;2019-01-13 22:30:00;6.40;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-14 00:00:00;2019-01-14 13:10:00;6.46;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-15 00:00:00;2019-01-15 12:30:00;6.45;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-16 00:00:00;2019-01-16 00:10:00;6.38;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-17 00:00:00;2019-01-17 00:10:00;6.31;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-18 00:00:00;2019-01-18 00:00:00;6.20;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-19 00:00:00;2019-01-19 00:20:00;6.00;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-20 00:00:00;2019-01-21 00:00:00;5.99;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-21 00:00:00;2019-01-21 00:00:00;5.99;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-22 00:00:00;2019-01-22 14:10:00;5.96;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-23 00:00:00;2019-01-23 00:10:00;5.77;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-24 00:00:00;2019-01-24 02:40:00;5.75;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-25 00:00:00;2019-01-25 14:30:00;5.74;Freigegeben, provisorische Daten
Luzern, Geissmattbrücke;2152;Wassertemperatur;Tagesmaxima;°C;Reuss;2019-01-26 00:00:00;2019-01-26 12:00:00;5.66;Freigegeben, provisorische Daten
