Stationsnummer: 2161
Stationsname: Blatten bei Naters
DBLH-Nr: 00865
Gewässer: Massa
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-01 00:00:00;2014-01-01 14:35:00;0.42;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-02 00:00:00;2014-01-02 17:05:00;0.45;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-03 00:00:00;2014-01-03 15:45:00;0.73;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-04 00:00:00;2014-01-04 17:25:00;0.87;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-05 00:00:00;2014-01-05 16:05:00;0.83;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-06 00:00:00;2014-01-06 23:35:00;0.84;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-07 00:00:00;2014-01-07 16:15:00;0.98;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-08 00:00:00;2014-01-08 15:25:00;1.09;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-09 00:00:00;2014-01-09 16:15:00;1.11;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-10 00:00:00;2014-01-10 15:35:00;1.47;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-11 00:00:00;2014-01-11 16:45:00;1.12;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-12 00:00:00;2014-01-12 00:00:00;1.03;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-13 00:00:00;2014-01-13 19:15:00;0.94;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-14 00:00:00;2014-01-14 00:00:00;0.83;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-15 00:00:00;2014-01-15 00:00:00;0.58;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-16 00:00:00;2014-01-16 15:55:00;0.92;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-17 00:00:00;2014-01-17 16:05:00;1.08;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-18 00:00:00;2014-01-18 20:25:00;0.87;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-19 00:00:00;2014-01-19 15:45:00;1.37;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-20 00:00:00;2014-01-20 15:35:00;1.19;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-21 00:00:00;2014-01-21 16:35:00;0.89;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-22 00:00:00;2014-01-22 00:00:00;0.32;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-23 00:00:00;2014-01-23 15:55:00;0.45;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-24 00:00:00;2014-01-24 00:00:00;0.36;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-25 00:00:00;2014-01-26 00:00:00;0.12;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-26 00:00:00;2014-01-26 13:55:00;0.45;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-27 00:00:00;2014-01-27 16:15:00;0.40;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-28 00:00:00;2014-01-28 00:00:00;0.16;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-29 00:00:00;2014-01-29 15:35:00;0.29;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-30 00:00:00;2014-01-30 15:35:00;0.55;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-01-31 00:00:00;2014-01-31 15:45:00;0.77;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-01 00:00:00;2014-02-01 16:55:00;0.92;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-02 00:00:00;2014-02-02 14:45:00;0.56;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-03 00:00:00;2014-02-03 15:45:00;0.93;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-04 00:00:00;2014-02-04 15:35:00;1.21;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-05 00:00:00;2014-02-05 00:05:00;0.80;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-06 00:00:00;2014-02-06 00:00:00;0.58;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-07 00:00:00;2014-02-08 00:00:00;0.51;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-08 00:00:00;2014-02-08 15:05:00;0.62;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-09 00:00:00;2014-02-09 15:25:00;0.65;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-10 00:00:00;2014-02-10 19:15:00;0.79;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-11 00:00:00;2014-02-11 15:05:00;0.85;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-12 00:00:00;2014-02-12 17:35:00;0.45;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-13 00:00:00;2014-02-13 11:25:00;0.47;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-14 00:00:00;2014-02-14 17:05:00;0.34;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-15 00:00:00;2014-02-15 15:05:00;0.63;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-16 00:00:00;2014-02-16 14:05:00;0.62;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-17 00:00:00;2014-02-17 17:05:00;0.66;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-18 00:00:00;2014-02-19 00:00:00;0.73;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-19 00:00:00;2014-02-19 16:05:00;0.89;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-20 00:00:00;2014-02-20 15:15:00;0.72;Freigegeben, validierte Daten
Blatten bei Naters;2161;Wassertemperatur;Tagesmaxima;°C;Massa;2014-02-21 00:00:00;2014-02-21 13:15:00;0.86;Freigegeben, validierte Daten
