Stationsnummer: 2167
Stationsname: Ponte Tresa, Rocchetta
DBLH-Nr: 00656
Gewässer: Tresa
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-01 00:00:00;2019-01-01 13:50:00;8.03;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-02 00:00:00;2019-01-02 13:30:00;8.01;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-03 00:00:00;2019-01-03 14:00:00;7.91;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-04 00:00:00;2019-01-04 12:50:00;7.65;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-05 00:00:00;2019-01-05 13:50:00;7.93;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-06 00:00:00;2019-01-06 14:00:00;8.01;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-07 00:00:00;2019-01-07 14:00:00;7.73;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-08 00:00:00;2019-01-08 14:00:00;7.49;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-09 00:00:00;2019-01-09 13:30:00;7.66;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-10 00:00:00;2019-01-10 13:30:00;7.53;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-11 00:00:00;2019-01-11 13:50:00;7.51;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-12 00:00:00;2019-01-12 13:50:00;7.56;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-13 00:00:00;2019-01-13 13:40:00;7.61;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-14 00:00:00;2019-01-14 14:00:00;7.71;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-15 00:00:00;2019-01-15 14:00:00;7.59;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-16 00:00:00;2019-01-16 13:00:00;7.27;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-17 00:00:00;2019-01-17 13:30:00;6.75;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-18 00:00:00;2019-01-18 13:10:00;7.31;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-19 00:00:00;2019-01-19 14:20:00;6.57;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-20 00:00:00;2019-01-20 14:00:00;7.24;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-21 00:00:00;2019-01-21 13:20:00;7.20;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-22 00:00:00;2019-01-22 14:20:00;7.22;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-23 00:00:00;2019-01-23 13:10:00;6.43;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-24 00:00:00;2019-01-24 14:20:00;7.41;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-25 00:00:00;2019-01-25 13:50:00;7.16;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-26 00:00:00;2019-01-26 15:10:00;7.24;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-27 00:00:00;2019-01-27 12:50:00;6.15;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-28 00:00:00;2019-01-28 14:40:00;7.53;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-29 00:00:00;2019-01-29 14:20:00;7.46;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmaxima;°C;Tresa;2019-01-30 00:00:00;2019-01-30 14:40:00;6.67;Freigegeben, provisorische Daten
