Stationsnummer: 2167
Stationsname: Ponte Tresa, Rocchetta
DBLH-Nr: 00656
Gewässer: Tresa
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-01 00:00:00;;7.64;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-02 00:00:00;;7.57;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-03 00:00:00;;7.35;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-04 00:00:00;;7.15;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-05 00:00:00;;7.15;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-06 00:00:00;;7.21;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-07 00:00:00;;7.14;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-08 00:00:00;;6.99;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-09 00:00:00;;6.99;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-10 00:00:00;;6.83;Freigegeben, provisorische Daten
Ponte Tresa, Rocchetta;2167;Wassertemperatur;Tagesmittel;°C;Tresa;2019-01-11 00:00:00;;6.69;Freigegeben, provisorische Daten
