Stationsnummer: 2170
Stationsname: Genève, Bout du Monde
DBLH-Nr: 00914
Gewässer: Arve
Exportperiode: 2018-01-01-2022-02-24
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-01 00:00:00;2018-01-01 20:40:00;5.65;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-02 00:00:00;2018-01-02 00:00:00;5.63;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-03 00:00:00;2018-01-03 17:30:00;6.40;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-04 00:00:00;2018-01-04 00:00:00;5.59;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-05 00:00:00;2018-01-05 23:50:00;6.43;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-06 00:00:00;2018-01-06 23:00:00;6.57;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-07 00:00:00;2018-01-07 00:00:00;6.56;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-08 00:00:00;2018-01-08 00:00:00;6.40;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-09 00:00:00;2018-01-09 03:00:00;6.16;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-10 00:00:00;2018-01-10 00:00:00;6.08;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-11 00:00:00;2018-01-11 21:00:00;6.23;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-12 00:00:00;2018-01-12 21:00:00;6.19;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-13 00:00:00;2018-01-13 00:00:00;6.11;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-14 00:00:00;2018-01-14 00:00:00;4.73;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-15 00:00:00;2018-01-15 23:40:00;5.28;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-16 00:00:00;2018-01-16 21:20:00;6.52;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-17 00:00:00;2018-01-17 00:00:00;6.38;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-18 00:00:00;2018-01-18 21:30:00;5.00;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-19 00:00:00;2018-01-19 22:30:00;5.82;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-20 00:00:00;2018-01-20 00:00:00;5.72;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-21 00:00:00;2018-01-21 01:30:00;5.38;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-22 00:00:00;2018-01-22 23:40:00;5.90;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-23 00:00:00;2018-01-23 20:20:00;6.63;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-24 00:00:00;2018-01-24 00:00:00;6.44;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-25 00:00:00;2018-01-25 00:00:00;6.41;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-26 00:00:00;2018-01-26 00:00:00;6.38;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-27 00:00:00;2018-01-27 00:00:00;6.34;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-28 00:00:00;2018-01-28 00:00:00;6.31;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-29 00:00:00;2018-01-29 00:00:00;6.28;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-30 00:00:00;2018-01-30 00:00:00;6.24;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-01-31 00:00:00;2018-01-31 22:44:00;6.56;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-01 00:00:00;2018-02-01 00:00:00;6.54;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-02 00:00:00;2018-02-02 00:00:00;5.61;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-03 00:00:00;2018-02-03 22:34:00;5.10;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-04 00:00:00;2018-02-04 00:00:00;5.02;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-05 00:00:00;2018-02-06 00:00:00;5.04;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-06 00:00:00;2018-02-06 22:54:00;5.57;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-07 00:00:00;2018-02-07 00:00:00;5.54;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-08 00:00:00;2018-02-08 19:34:00;5.15;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-09 00:00:00;2018-02-09 19:20:00;5.48;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-10 00:00:00;2018-02-10 00:00:00;5.28;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-11 00:00:00;2018-02-11 21:30:00;5.25;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-12 00:00:00;2018-02-12 13:50:00;5.47;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-13 00:00:00;2018-02-13 00:00:00;4.62;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-14 00:00:00;2018-02-14 18:10:00;4.75;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-15 00:00:00;2018-02-16 00:00:00;4.99;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-16 00:00:00;2018-02-17 00:00:00;6.04;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-17 00:00:00;2018-02-17 15:50:00;6.19;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-18 00:00:00;2018-02-18 00:00:00;5.70;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-19 00:00:00;2018-02-19 22:10:00;5.68;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-20 00:00:00;2018-02-20 16:50:00;6.01;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-21 00:00:00;2018-02-21 00:00:00;5.64;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-22 00:00:00;2018-02-22 00:00:00;4.48;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-23 00:00:00;2018-02-23 00:00:00;4.11;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-24 00:00:00;2018-02-25 00:00:00;4.26;Freigegeben, provisorische Daten
Genève, Bout du Monde;2170;Wassertemperatur;Tagesmaxima;°C;Arve;2018-02-25 00:00:00;2018-02-25 04:20:00;4.37;Freigegeben, provisorische Daten
