Stationsnummer: 2179
Stationsname: Thörishaus, Sensematt
DBLH-Nr: 00978
Gewässer: Sense
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-01 00:00:00;2014-01-01 13:45:00;2.65;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-02 00:00:00;2014-01-02 15:55:00;3.29;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-03 00:00:00;2014-01-03 17:25:00;3.25;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-04 00:00:00;2014-01-04 14:15:00;3.49;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-05 00:00:00;2014-01-05 15:05:00;3.47;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-06 00:00:00;2014-01-06 20:25:00;3.10;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-07 00:00:00;2014-01-07 16:15:00;3.59;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-08 00:00:00;2014-01-08 16:35:00;4.30;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-09 00:00:00;2014-01-09 22:55:00;4.28;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-10 00:00:00;2014-01-10 16:25:00;4.84;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-11 00:00:00;2014-01-11 16:15:00;4.44;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-12 00:00:00;2014-01-12 22:55:00;3.91;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-13 00:00:00;2014-01-13 16:55:00;3.87;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-14 00:00:00;2014-01-14 15:05:00;4.30;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-15 00:00:00;2014-01-15 16:45:00;3.66;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-16 00:00:00;2014-01-16 16:35:00;4.25;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-17 00:00:00;2014-01-17 15:35:00;4.20;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-18 00:00:00;2014-01-18 00:00:00;3.97;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-19 00:00:00;2014-01-19 16:55:00;3.89;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-20 00:00:00;2014-01-20 18:15:00;4.12;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-21 00:00:00;2014-01-21 17:25:00;3.99;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-22 00:00:00;2014-01-22 13:25:00;4.06;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-23 00:00:00;2014-01-23 16:35:00;3.76;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-24 00:00:00;2014-01-24 00:00:00;3.51;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-25 00:00:00;2014-01-25 18:45:00;2.35;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-26 00:00:00;2014-01-26 16:15:00;3.62;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-27 00:00:00;2014-01-27 13:45:00;3.83;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-28 00:00:00;2014-01-28 00:00:00;2.71;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-29 00:00:00;2014-01-29 17:55:00;2.62;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-30 00:00:00;2014-01-30 16:45:00;2.77;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-01-31 00:00:00;2014-01-31 16:25:00;3.10;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-01 00:00:00;2014-02-01 17:35:00;3.56;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-02 00:00:00;2014-02-02 16:35:00;3.93;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-03 00:00:00;2014-02-03 16:35:00;4.66;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-04 00:00:00;2014-02-04 15:45:00;4.72;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-05 00:00:00;2014-02-05 15:35:00;4.55;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-06 00:00:00;2014-02-06 17:45:00;4.82;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-07 00:00:00;2014-02-07 17:35:00;4.68;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-08 00:00:00;2014-02-08 17:15:00;4.75;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-09 00:00:00;2014-02-09 17:05:00;5.14;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-10 00:00:00;2014-02-10 18:30:00;4.33;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-11 00:00:00;2014-02-11 16:25:00;4.68;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-12 00:00:00;2014-02-12 17:25:00;4.46;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-13 00:00:00;2014-02-13 16:45:00;4.46;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-14 00:00:00;2014-02-14 17:55:00;4.25;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-15 00:00:00;2014-02-15 17:35:00;5.50;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-16 00:00:00;2014-02-16 16:05:00;4.53;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-17 00:00:00;2014-02-17 17:15:00;5.30;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-18 00:00:00;2014-02-18 17:15:00;5.01;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-19 00:00:00;2014-02-19 17:15:00;5.17;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-20 00:00:00;2014-02-20 17:15:00;5.44;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-21 00:00:00;2014-02-21 16:45:00;5.18;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-22 00:00:00;2014-02-22 17:05:00;5.31;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-23 00:00:00;2014-02-23 15:35:00;5.96;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-24 00:00:00;2014-02-24 17:15:00;5.46;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-25 00:00:00;2014-02-25 17:15:00;5.55;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-26 00:00:00;2014-02-26 16:55:00;5.29;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-27 00:00:00;2014-02-27 16:45:00;5.78;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-02-28 00:00:00;2014-02-28 16:15:00;6.14;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-01 00:00:00;2014-03-01 16:35:00;5.71;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-02 00:00:00;2014-03-02 17:05:00;5.71;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-03 00:00:00;2014-03-03 16:55:00;4.96;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-04 00:00:00;2014-03-04 15:55:00;5.06;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-05 00:00:00;2014-03-05 16:15:00;6.32;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-06 00:00:00;2014-03-06 16:05:00;6.50;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-07 00:00:00;2014-03-07 17:25:00;6.52;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-08 00:00:00;2014-03-08 17:35:00;7.13;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-09 00:00:00;2014-03-09 17:25:00;7.15;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-10 00:00:00;2014-03-10 17:35:00;7.36;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-11 00:00:00;2014-03-11 17:05:00;7.15;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-12 00:00:00;2014-03-12 17:35:00;7.43;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-13 00:00:00;2014-03-13 17:35:00;7.76;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-14 00:00:00;2014-03-14 17:25:00;8.08;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-15 00:00:00;2014-03-15 16:55:00;7.08;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-16 00:00:00;2014-03-16 17:15:00;8.91;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-17 00:00:00;2014-03-17 17:05:00;8.88;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-18 00:00:00;2014-03-18 17:05:00;8.93;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-19 00:00:00;2014-03-19 16:35:00;9.33;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-20 00:00:00;2014-03-20 17:35:00;9.40;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-21 00:00:00;2014-03-21 17:15:00;9.71;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-22 00:00:00;2014-03-22 00:00:00;7.89;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-23 00:00:00;2014-03-23 00:00:00;5.41;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-24 00:00:00;2014-03-24 16:35:00;6.14;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-25 00:00:00;2014-03-25 16:05:00;6.48;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-26 00:00:00;2014-03-26 16:15:00;6.95;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-27 00:00:00;2014-03-27 17:05:00;7.87;Freigegeben, validierte Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmaxima;°C;Sense;2014-03-28 00:00:00;2014-03-28 17:35:00;8.77;Freigegeben, validierte Daten
