Stationsnummer: 2179
Stationsname: Thörishaus, Sensematt
DBLH-Nr: 00978
Gewässer: Sense
Exportperiode: 2019-01-01-2022-03-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-01 00:00:00;;4.21;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-02 00:00:00;;4.05;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-03 00:00:00;;2.70;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-04 00:00:00;;1.47;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-05 00:00:00;;1.76;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-06 00:00:00;;2.86;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-08 00:00:00;;3.31;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-09 00:00:00;;2.66;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-10 00:00:00;;2.02;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-11 00:00:00;;2.08;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-12 00:00:00;;2.60;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-13 00:00:00;;3.46;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-14 00:00:00;;4.03;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-15 00:00:00;;3.26;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-16 00:00:00;;2.00;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-17 00:00:00;;2.68;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-18 00:00:00;;2.30;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-19 00:00:00;;1.45;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-20 00:00:00;;1.46;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-21 00:00:00;;1.89;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-22 00:00:00;;1.50;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-23 00:00:00;;1.22;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-24 00:00:00;;1.73;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-25 00:00:00;;0.95;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-26 00:00:00;;1.69;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-27 00:00:00;;2.53;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-28 00:00:00;;2.39;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-29 00:00:00;;1.99;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-30 00:00:00;;1.71;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-01-31 00:00:00;;1.28;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-01 00:00:00;;1.85;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-02 00:00:00;;2.12;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-03 00:00:00;;1.56;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-04 00:00:00;;1.08;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-05 00:00:00;;0.37;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-06 00:00:00;;0.28;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-07 00:00:00;;0.38;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-08 00:00:00;;1.15;Freigegeben, provisorische Daten
Thörishaus, Sensematt;2179;Wassertemperatur;Tagesmittel;°C;Sense;2019-02-09 00:00:00;;2.28;Freigegeben, provisorische Daten
