Stationsnummer: 2181
Stationsname: Halden
DBLH-Nr: 00685
Gewässer: Thur
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-01 00:00:00;2014-01-01 16:05:00;2.44;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-02 00:00:00;2014-01-02 17:35:00;2.73;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-03 00:00:00;2014-01-04 00:00:00;3.08;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-04 00:00:00;2014-01-05 00:00:00;3.71;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-05 00:00:00;2014-01-05 16:15:00;4.33;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-06 00:00:00;2014-01-06 00:00:00;3.63;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-07 00:00:00;2014-01-07 17:15:00;4.44;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-08 00:00:00;2014-01-08 15:15:00;4.99;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-09 00:00:00;2014-01-10 00:00:00;5.21;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-10 00:00:00;2014-01-10 13:55:00;5.56;Freigegeben, validierte Daten
Halden;2181;Wassertemperatur;Tagesmaxima;°C;Thur;2014-01-11 00:00:00;2014-01-11 00:00:00;5.02;Freigegeben, validierte Daten
