Stationsnummer: 2181
Stationsname: Halden
DBLH-Nr: 00685
Gewässer: Thur
Exportperiode: 2019-01-01-2022-01-08
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-01 00:00:00;;4.98;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-02 00:00:00;;4.37;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-03 00:00:00;;2.75;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-04 00:00:00;;2.22;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-05 00:00:00;;1.95;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-06 00:00:00;;2.55;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-07 00:00:00;;3.57;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-08 00:00:00;;3.78;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-09 00:00:00;;3.56;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-10 00:00:00;;2.16;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-11 00:00:00;;1.81;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-12 00:00:00;;2.39;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-13 00:00:00;;3.46;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-14 00:00:00;;3.99;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-15 00:00:00;;4.13;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-16 00:00:00;;3.22;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-17 00:00:00;;3.25;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-18 00:00:00;;3.36;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-19 00:00:00;;1.94;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-20 00:00:00;;1.33;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-21 00:00:00;;1.89;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-22 00:00:00;;2.11;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-23 00:00:00;;1.53;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-24 00:00:00;;1.15;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-25 00:00:00;;1.12;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-26 00:00:00;;1.37;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-27 00:00:00;;2.47;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-28 00:00:00;;2.68;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-29 00:00:00;;2.51;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-30 00:00:00;;1.74;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-01-31 00:00:00;;1.03;Freigegeben, provisorische Daten
Halden;2181;Wassertemperatur;Tagesmittel;°C;Thur;2019-02-01 00:00:00;;1.75;Freigegeben, provisorische Daten
