Stationsnummer: 2205
Stationsname: Untersiggenthal, Stilli
DBLH-Nr: 00931
Gewässer: Aare
Exportperiode: 2019-01-01-2022-01-07
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-01 00:00:00;;7.29;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-02 00:00:00;;7.11;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-03 00:00:00;;6.47;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-04 00:00:00;;6.22;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-05 00:00:00;;6.00;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-06 00:00:00;;6.04;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-07 00:00:00;;6.39;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-08 00:00:00;;6.34;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-09 00:00:00;;6.25;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-10 00:00:00;;5.92;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-11 00:00:00;;5.74;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-12 00:00:00;;5.76;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-13 00:00:00;;5.92;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-14 00:00:00;;6.07;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-15 00:00:00;;6.09;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-16 00:00:00;;6.00;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-17 00:00:00;;5.91;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-18 00:00:00;;5.92;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-19 00:00:00;;5.56;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-20 00:00:00;;5.37;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-21 00:00:00;;5.49;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-22 00:00:00;;5.54;Freigegeben, provisorische Daten
Untersiggenthal, Stilli;2205;Wassertemperatur;Tagesmittel;°C;Aare;2019-01-23 00:00:00;;5.37;Freigegeben, provisorische Daten
