Stationsnummer: 2210
Stationsname: Ocourt
DBLH-Nr: 00726
Gewässer: Doubs
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-01 00:00:00;2014-01-01 15:35:00;5.62;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-02 00:00:00;2014-01-02 17:45:00;6.11;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-03 00:00:00;2014-01-03 20:45:00;6.41;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-04 00:00:00;2014-01-04 00:00:00;6.37;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-05 00:00:00;2014-01-05 17:05:00;6.16;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-06 00:00:00;2014-01-06 00:00:00;5.87;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-07 00:00:00;2014-01-07 21:55:00;6.43;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-08 00:00:00;2014-01-08 17:15:00;6.53;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-09 00:00:00;2014-01-09 23:35:00;6.48;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-10 00:00:00;2014-01-10 00:00:00;6.47;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-11 00:00:00;2014-01-12 00:00:00;6.50;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-12 00:00:00;2014-01-12 14:45:00;6.55;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-13 00:00:00;2014-01-13 00:00:00;6.10;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-14 00:00:00;2014-01-14 20:35:00;6.19;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-15 00:00:00;2014-01-15 00:00:00;6.07;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-16 00:00:00;2014-01-16 22:55:00;6.27;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-17 00:00:00;2014-01-17 18:45:00;6.48;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-18 00:00:00;2014-01-18 00:00:00;6.07;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-19 00:00:00;2014-01-19 22:55:00;6.21;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-20 00:00:00;2014-01-21 00:00:00;6.37;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-21 00:00:00;2014-01-21 00:05:00;6.37;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-22 00:00:00;2014-01-22 00:00:00;6.24;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-23 00:00:00;2014-01-23 00:00:00;5.89;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-24 00:00:00;2014-01-24 00:05:00;5.77;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-25 00:00:00;2014-01-25 00:00:00;5.23;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-26 00:00:00;2014-01-27 00:00:00;5.42;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-27 00:00:00;2014-01-27 17:05:00;5.67;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-28 00:00:00;2014-01-28 00:00:00;5.54;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-29 00:00:00;2014-01-29 00:00:00;4.78;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-30 00:00:00;2014-01-30 23:45:00;5.16;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-01-31 00:00:00;2014-01-31 00:05:00;5.16;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-01 00:00:00;2014-02-02 00:00:00;4.67;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-02 00:00:00;2014-02-03 00:00:00;5.42;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-03 00:00:00;2014-02-03 19:15:00;5.70;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-04 00:00:00;2014-02-04 00:00:00;5.47;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-05 00:00:00;2014-02-05 00:00:00;5.25;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-06 00:00:00;2014-02-06 23:45:00;5.61;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-07 00:00:00;2014-02-07 21:25:00;5.91;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-08 00:00:00;2014-02-08 22:05:00;5.96;Freigegeben, validierte Daten
Ocourt;2210;Wassertemperatur;Tagesmaxima;°C;Doubs;2014-02-09 00:00:00;2014-02-09 15:55:00;6.34;Freigegeben, validierte Daten
