Stationsnummer: 2210
Stationsname: Ocourt
DBLH-Nr: 00726
Gewässer: Doubs
Exportperiode: 2019-01-01-2022-01-04
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-01 00:00:00;;6.46;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-02 00:00:00;;6.23;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-03 00:00:00;;5.36;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-04 00:00:00;;4.79;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-05 00:00:00;;4.68;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-06 00:00:00;;5.02;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-07 00:00:00;;5.25;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-08 00:00:00;;5.20;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-09 00:00:00;;5.05;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-10 00:00:00;;4.43;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-11 00:00:00;;4.32;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-12 00:00:00;;4.40;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-13 00:00:00;;4.82;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-14 00:00:00;;6.21;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-15 00:00:00;;6.56;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-16 00:00:00;;6.36;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-17 00:00:00;;6.00;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-18 00:00:00;;5.40;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-19 00:00:00;;4.52;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-20 00:00:00;;4.38;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-21 00:00:00;;5.00;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-22 00:00:00;;4.84;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-23 00:00:00;;4.48;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-24 00:00:00;;4.44;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-25 00:00:00;;3.91;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-26 00:00:00;;3.89;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-27 00:00:00;;4.57;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-28 00:00:00;;4.62;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-29 00:00:00;;4.53;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-30 00:00:00;;4.30;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-01-31 00:00:00;;3.96;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-01 00:00:00;;4.61;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-02 00:00:00;;5.28;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-03 00:00:00;;5.34;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-04 00:00:00;;4.72;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-05 00:00:00;;4.61;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-06 00:00:00;;4.36;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-07 00:00:00;;4.17;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-08 00:00:00;;4.90;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-09 00:00:00;;5.49;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-10 00:00:00;;6.37;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-11 00:00:00;;6.72;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-12 00:00:00;;6.78;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-13 00:00:00;;6.01;Freigegeben, provisorische Daten
Ocourt;2210;Wassertemperatur;Tagesmittel;°C;Doubs;2019-02-14 00:00:00;;5.43;Freigegeben, provisorische Daten
