Stationsnummer: 2232
Stationsname: Adelboden
DBLH-Nr: 00750
Gewässer: Allenbach
Exportperiode: 2018-01-01-2022-03-24
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-01 00:00:00;2018-01-01 02:50:00;2.89;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-02 00:00:00;2018-01-03 00:00:00;2.86;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-03 00:00:00;2018-01-03 10:00:00;3.47;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-04 00:00:00;2018-01-04 09:40:00;2.43;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-05 00:00:00;2018-01-05 18:40:00;3.18;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-06 00:00:00;2018-01-06 00:10:00;3.16;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-07 00:00:00;2018-01-07 17:40:00;3.39;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-08 00:00:00;2018-01-08 00:10:00;3.28;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-09 00:00:00;2018-01-09 04:50:00;3.33;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-10 00:00:00;2018-01-10 00:00:00;3.14;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-11 00:00:00;2018-01-11 17:20:00;3.19;Freigegeben, provisorische Daten
Adelboden;2232;Wassertemperatur;Tagesmaxima;°C;Allenbach;2018-01-12 00:00:00;2018-01-12 17:20:00;3.31;Freigegeben, provisorische Daten
