Stationsnummer: 2243
Stationsname: Baden, Limmatpromenade
DBLH-Nr: 00764
Gewässer: Limmat
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-01 00:00:00;2014-01-01 10:35:00;5.67;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-02 00:00:00;2014-01-02 10:55:00;5.87;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-03 00:00:00;2014-01-03 15:25:00;5.91;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-04 00:00:00;2014-01-04 16:45:00;6.04;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-05 00:00:00;2014-01-05 13:15:00;6.44;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-06 00:00:00;2014-01-06 00:00:00;6.06;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-07 00:00:00;2014-01-07 16:35:00;6.11;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-08 00:00:00;2014-01-08 11:35:00;6.43;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-09 00:00:00;2014-01-09 13:35:00;6.49;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-10 00:00:00;2014-01-10 14:05:00;6.56;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-11 00:00:00;2014-01-11 08:05:00;6.68;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-12 00:00:00;2014-01-12 13:15:00;6.50;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-13 00:00:00;2014-01-13 12:35:00;6.51;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-14 00:00:00;2014-01-14 09:55:00;6.48;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-15 00:00:00;2014-01-15 05:35:00;6.53;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-16 00:00:00;2014-01-16 14:45:00;6.14;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-17 00:00:00;2014-01-17 20:45:00;6.32;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-18 00:00:00;2014-01-18 00:00:00;6.25;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-19 00:00:00;2014-01-19 05:05:00;6.00;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-20 00:00:00;2014-01-20 05:45:00;5.94;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-21 00:00:00;2014-01-21 04:15:00;6.05;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-22 00:00:00;2014-01-22 04:35:00;6.03;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-23 00:00:00;2014-01-23 03:35:00;5.93;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-24 00:00:00;2014-01-24 18:55:00;5.80;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-25 00:00:00;2014-01-25 03:35:00;5.76;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-26 00:00:00;2014-01-26 03:55:00;5.56;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-27 00:00:00;2014-01-27 06:45:00;5.68;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-28 00:00:00;2014-01-28 12:15:00;5.73;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-29 00:00:00;2014-01-29 11:25:00;5.29;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-30 00:00:00;2014-01-30 08:05:00;5.14;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-01-31 00:00:00;2014-01-31 14:15:00;5.03;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-01 00:00:00;2014-02-01 13:05:00;5.13;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-02 00:00:00;2014-02-02 19:25:00;5.58;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-03 00:00:00;2014-02-03 07:05:00;5.73;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-04 00:00:00;2014-02-04 10:05:00;5.60;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-05 00:00:00;2014-02-05 08:45:00;5.51;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-06 00:00:00;2014-02-06 13:25:00;5.71;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-07 00:00:00;2014-02-07 06:45:00;5.80;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-08 00:00:00;2014-02-08 10:15:00;5.68;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-09 00:00:00;2014-02-09 11:35:00;5.53;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-10 00:00:00;2014-02-10 14:25:00;5.52;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-11 00:00:00;2014-02-11 12:55:00;5.91;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-12 00:00:00;2014-02-12 11:15:00;5.84;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-13 00:00:00;2014-02-13 12:55:00;5.73;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-14 00:00:00;2014-02-14 11:55:00;5.87;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-15 00:00:00;2014-02-16 00:00:00;5.64;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-16 00:00:00;2014-02-16 05:35:00;6.05;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-17 00:00:00;2014-02-17 13:45:00;5.85;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-18 00:00:00;2014-02-18 07:35:00;6.06;Freigegeben, validierte Daten
Baden, Limmatpromenade;2243;Wassertemperatur;Tagesmaxima;°C;Limmat;2014-02-19 00:00:00;2014-02-19 07:55:00;6.06;Freigegeben, validierte Daten
