Stationsnummer: 2265
Stationsname: Tarasp
DBLH-Nr: 00785
Gewässer: Inn
Exportperiode: 2016-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-01 00:00:00;2016-01-01 00:02:00;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-02 00:00:00;2016-01-02 00:02:00;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-03 00:00:00;2016-01-03 00:02:00;0.02;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-04 00:00:00;2016-01-04 22:12:00;0.88;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-05 00:00:00;2016-01-05 00:00:00;0.83;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-06 00:00:00;2016-01-06 20:32:00;0.19;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-07 00:00:00;2016-01-07 12:32:00;0.22;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-08 00:00:00;2016-01-08 00:02:00;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-09 00:00:00;2016-01-09 17:32:00;1.15;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-10 00:00:00;2016-01-11 00:00:00;1.64;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-11 00:00:00;2016-01-11 12:32:00;1.81;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-12 00:00:00;2016-01-12 00:00:00;1.68;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-13 00:00:00;2016-01-13 14:52:00;0.72;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-14 00:00:00;2016-01-14 15:02:00;0.38;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-15 00:00:00;2016-01-15 00:00:00;0.12;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-16 00:00:00;2016-01-17 00:00:00;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-17 00:00:00;2016-01-17 00:02:00;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-18 00:00:00;2016-01-18 00:02:00;0.05;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-19 00:00:00;2016-01-20 00:00:00;0.12;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-20 00:00:00;2016-01-20 12:22:00;0.19;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-21 00:00:00;2016-01-21 00:02:00;0.11;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-22 00:00:00;2016-01-23 00:00:00;0.08;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-23 00:00:00;2016-01-23 00:02:00;0.08;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-24 00:00:00;2016-01-24 00:02:00;0.08;Freigegeben, validierte Daten
Tarasp;2265;Wassertemperatur;Tagesmaxima;°C;Inn;2016-01-25 00:00:00;2016-01-25 00:02:00;0.08;Freigegeben, validierte Daten
