Stationsnummer: 2265
Stationsname: Tarasp
DBLH-Nr: 00785
Gewässer: Inn
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-01 00:00:00;;0.19;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-02 00:00:00;;0.23;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-03 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-04 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-05 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-06 00:00:00;;0.17;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-07 00:00:00;;0.32;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-08 00:00:00;;0.42;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-09 00:00:00;;0.13;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-10 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-11 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-12 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-13 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-14 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-15 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-16 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-17 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-18 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-19 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-20 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-21 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-22 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-23 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-24 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-25 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-26 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-27 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-28 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-29 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-30 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-01-31 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-01 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-02 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-03 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-04 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-05 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-06 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-07 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-08 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-09 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-10 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-11 00:00:00;;0.08;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-12 00:00:00;;0.24;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-13 00:00:00;;0.04;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-14 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-15 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-16 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-17 00:00:00;;0.00;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-18 00:00:00;;0.04;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-19 00:00:00;;0.18;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-20 00:00:00;;0.54;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-21 00:00:00;;0.69;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-22 00:00:00;;1.58;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-23 00:00:00;;1.09;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-24 00:00:00;;0.69;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-25 00:00:00;;0.83;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-26 00:00:00;;1.10;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-27 00:00:00;;1.39;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-02-28 00:00:00;;1.77;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-01 00:00:00;;2.34;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-02 00:00:00;;2.70;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-03 00:00:00;;2.10;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-04 00:00:00;;2.45;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-05 00:00:00;;2.02;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-06 00:00:00;;2.08;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-07 00:00:00;;2.62;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-08 00:00:00;;2.75;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-09 00:00:00;;3.29;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-10 00:00:00;;3.52;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-11 00:00:00;;2.33;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-12 00:00:00;;0.97;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-13 00:00:00;;2.10;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-14 00:00:00;;2.17;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-15 00:00:00;;1.47;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-16 00:00:00;;2.86;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-17 00:00:00;;3.06;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-18 00:00:00;;3.14;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-19 00:00:00;;2.26;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-20 00:00:00;;1.74;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-21 00:00:00;;1.85;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-22 00:00:00;;2.65;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-23 00:00:00;;3.44;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-24 00:00:00;;3.86;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-25 00:00:00;;3.72;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-26 00:00:00;;2.59;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-27 00:00:00;;2.70;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-28 00:00:00;;3.50;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-29 00:00:00;;3.50;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-30 00:00:00;;3.86;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-03-31 00:00:00;;4.14;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-01 00:00:00;;4.37;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-02 00:00:00;;4.77;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-03 00:00:00;;5.04;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-04 00:00:00;;2.84;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-05 00:00:00;;2.35;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-06 00:00:00;;4.69;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-07 00:00:00;;4.86;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-08 00:00:00;;4.89;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-09 00:00:00;;5.24;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-10 00:00:00;;5.38;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-11 00:00:00;;5.08;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-12 00:00:00;;4.57;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-13 00:00:00;;4.87;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-14 00:00:00;;4.29;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-15 00:00:00;;4.96;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-16 00:00:00;;5.45;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-17 00:00:00;;5.81;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-18 00:00:00;;6.18;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-19 00:00:00;;6.46;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-20 00:00:00;;6.25;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-21 00:00:00;;6.28;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-22 00:00:00;;6.08;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-23 00:00:00;;5.79;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-24 00:00:00;;6.46;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-25 00:00:00;;6.44;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-26 00:00:00;;5.35;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-27 00:00:00;;4.74;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-28 00:00:00;;4.86;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-29 00:00:00;;4.58;Freigegeben, provisorische Daten
Tarasp;2265;Wassertemperatur;Tagesmittel;°C;Inn;2019-04-30 00:00:00;;5.38;Freigegeben, provisorische Daten
