Stationsnummer: 2276
Stationsname: Isenthal
DBLH-Nr: 00799
Gewässer: Grosstalbach
Exportperiode: 2019-01-01-2019-08-06
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-01 00:00:00;;6.41;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-02 00:00:00;;5.79;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-03 00:00:00;;5.41;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-04 00:00:00;;5.40;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-05 00:00:00;;5.65;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-06 00:00:00;;6.05;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-07 00:00:00;;6.18;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-08 00:00:00;;6.03;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-09 00:00:00;;5.53;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-10 00:00:00;;5.72;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-11 00:00:00;;5.77;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-12 00:00:00;;6.00;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-13 00:00:00;;5.64;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-14 00:00:00;;5.29;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-15 00:00:00;;5.68;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-16 00:00:00;;5.59;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-17 00:00:00;;5.87;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-18 00:00:00;;5.70;Freigegeben, provisorische Daten
Isenthal;2276;Wassertemperatur;Tagesmittel;°C;Grosstalbach;2019-01-19 00:00:00;;5.32;Freigegeben, provisorische Daten
