Stationsnummer: 2282
Stationsname: Wasen, Kurzeneialp
DBLH-Nr: 00805
Gewässer: Sperbelgraben
Exportperiode: 2018-01-01-2022-03-08
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-01 00:00:00;;3.10;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-02 00:00:00;;2.69;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-03 00:00:00;;3.10;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-04 00:00:00;;3.58;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-05 00:00:00;;4.64;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-06 00:00:00;;4.32;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-07 00:00:00;;3.87;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-08 00:00:00;;3.72;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-09 00:00:00;;3.78;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-10 00:00:00;;3.23;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-11 00:00:00;;3.19;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-12 00:00:00;;2.97;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-13 00:00:00;;2.27;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-14 00:00:00;;1.37;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-15 00:00:00;;1.10;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-16 00:00:00;;2.35;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-17 00:00:00;;1.45;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-18 00:00:00;;1.49;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-19 00:00:00;;2.06;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-20 00:00:00;;1.12;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-21 00:00:00;;2.16;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-22 00:00:00;;2.57;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-23 00:00:00;;3.76;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-24 00:00:00;;3.97;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-25 00:00:00;;3.86;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-26 00:00:00;;3.87;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-27 00:00:00;;3.88;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-28 00:00:00;;3.75;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-29 00:00:00;;3.57;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-30 00:00:00;;3.64;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-01-31 00:00:00;;3.70;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-01 00:00:00;;3.18;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-02 00:00:00;;2.14;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-03 00:00:00;;1.78;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-04 00:00:00;;1.50;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-05 00:00:00;;1.26;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-06 00:00:00;;0.98;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-07 00:00:00;;1.02;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-08 00:00:00;;0.96;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-09 00:00:00;;0.66;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-10 00:00:00;;0.61;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-11 00:00:00;;0.67;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-12 00:00:00;;0.61;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-13 00:00:00;;0.42;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-14 00:00:00;;0.38;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-15 00:00:00;;0.38;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-16 00:00:00;;0.66;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-17 00:00:00;;1.76;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-18 00:00:00;;1.96;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-19 00:00:00;;1.74;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-20 00:00:00;;1.63;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-21 00:00:00;;1.01;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-22 00:00:00;;0.51;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-23 00:00:00;;0.35;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-24 00:00:00;;0.30;Freigegeben, provisorische Daten
Wasen, Kurzeneialp;2282;Wassertemperatur;Tagesmittel;°C;Sperbelgraben;2018-02-25 00:00:00;;0.26;Freigegeben, provisorische Daten
