Stationsnummer: 2288
Stationsname: Neuhausen, Flurlingerbrücke
DBLH-Nr: 00810
Gewässer: Rhein
Exportperiode: 2018-01-01-2022-03-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-01 00:00:00;2018-01-01 17:40:00;5.36;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-02 00:00:00;2018-01-02 15:50:00;5.26;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-03 00:00:00;2018-01-03 13:30:00;5.56;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-04 00:00:00;2018-01-04 22:00:00;5.83;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-05 00:00:00;2018-01-05 01:20:00;5.87;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-06 00:00:00;2018-01-06 16:40:00;5.72;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-07 00:00:00;2018-01-07 00:10:00;5.63;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-08 00:00:00;2018-01-08 17:30:00;5.59;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-09 00:00:00;2018-01-09 17:40:00;5.59;Freigegeben, provisorische Daten
Neuhausen, Flurlingerbrücke;2288;Wassertemperatur;Tagesmaxima;°C;Rhein;2018-01-10 00:00:00;2018-01-10 16:50:00;5.51;Freigegeben, provisorische Daten
