Stationsnummer: 2307
Stationsname: Sonceboz
DBLH-Nr: 00829
Gewässer: Suze
Exportperiode: 2019-01-01-2021-10-13
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-01 00:00:00;2019-01-01 00:00:00;7.86;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-02 00:00:00;2019-01-02 00:00:00;7.51;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-03 00:00:00;2019-01-03 00:00:00;6.98;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-04 00:00:00;2019-01-04 19:00:00;6.61;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-05 00:00:00;2019-01-05 19:30:00;6.89;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-06 00:00:00;2019-01-06 16:40:00;7.08;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-07 00:00:00;2019-01-07 17:00:00;7.00;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-08 00:00:00;2019-01-08 17:30:00;6.85;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-09 00:00:00;2019-01-09 00:00:00;6.53;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmaxima;°C;Suze;2019-01-10 00:00:00;2019-01-10 19:20:00;6.27;Freigegeben, provisorische Daten
