Stationsnummer: 2307
Stationsname: Sonceboz
DBLH-Nr: 00829
Gewässer: Suze
Exportperiode: 2019-01-01-2021-10-13
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-01 00:00:00;;7.69;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-02 00:00:00;;7.27;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-03 00:00:00;;6.49;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-04 00:00:00;;6.36;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-05 00:00:00;;6.68;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-06 00:00:00;;6.90;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-07 00:00:00;;6.88;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-08 00:00:00;;6.70;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-09 00:00:00;;6.11;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-10 00:00:00;;5.99;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-11 00:00:00;;6.04;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-12 00:00:00;;6.35;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-13 00:00:00;;6.46;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-14 00:00:00;;6.57;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-15 00:00:00;;6.86;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-16 00:00:00;;6.44;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-17 00:00:00;;6.80;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-18 00:00:00;;6.22;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-19 00:00:00;;5.39;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-20 00:00:00;;5.67;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-21 00:00:00;;6.33;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-22 00:00:00;;6.03;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-23 00:00:00;;5.66;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-24 00:00:00;;5.87;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-25 00:00:00;;5.30;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-26 00:00:00;;5.77;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-27 00:00:00;;6.26;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-28 00:00:00;;5.75;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-29 00:00:00;;5.57;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-30 00:00:00;;5.39;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-01-31 00:00:00;;5.21;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-01 00:00:00;;6.05;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-02 00:00:00;;6.40;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-03 00:00:00;;6.14;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-04 00:00:00;;5.46;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-05 00:00:00;;5.06;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-06 00:00:00;;4.58;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-07 00:00:00;;5.18;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-08 00:00:00;;6.34;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-09 00:00:00;;6.68;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-10 00:00:00;;6.64;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-11 00:00:00;;6.40;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-12 00:00:00;;6.75;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-13 00:00:00;;6.52;Freigegeben, provisorische Daten
Sonceboz;2307;Wassertemperatur;Tagesmittel;°C;Suze;2019-02-14 00:00:00;;6.61;Freigegeben, provisorische Daten
