Stationsnummer: 2327
Stationsname: Davos, Kriegsmatte
DBLH-Nr: 00848
Gewässer: Dischmabach
Exportperiode: 2019-01-01-2020-09-25
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-01 00:00:00;;0.97;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-02 00:00:00;;0.28;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-03 00:00:00;;0.16;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-04 00:00:00;;0.22;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-05 00:00:00;;0.90;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-06 00:00:00;;1.26;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-07 00:00:00;;1.40;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-08 00:00:00;;1.37;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-09 00:00:00;;0.19;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-10 00:00:00;;0.47;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-11 00:00:00;;0.55;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-12 00:00:00;;1.30;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-13 00:00:00;;0.53;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-14 00:00:00;;0.21;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-15 00:00:00;;0.29;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-16 00:00:00;;0.25;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-17 00:00:00;;0.30;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-18 00:00:00;;0.37;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-19 00:00:00;;0.76;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-20 00:00:00;;0.67;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-21 00:00:00;;1.28;Freigegeben, provisorische Daten
Davos, Kriegsmatte;2327;Wassertemperatur;Tagesmittel;°C;Dischmabach;2019-01-22 00:00:00;;0.62;Freigegeben, provisorische Daten
