Stationsnummer: 2343
Stationsname: Huttwil, Häberenbad
DBLH-Nr: 00863
Gewässer: Langeten
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-01 00:00:00;2019-01-01 00:00:00;6.80;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-02 00:00:00;2019-01-02 00:00:00;6.26;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-03 00:00:00;2019-01-03 00:00:00;5.10;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-04 00:00:00;2019-01-04 00:00:00;4.01;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-05 00:00:00;2019-01-06 00:00:00;4.51;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-06 00:00:00;2019-01-06 15:30:00;5.64;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-07 00:00:00;2019-01-07 15:50:00;5.59;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-08 00:00:00;2019-01-08 00:00:00;5.36;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-09 00:00:00;2019-01-09 00:20:00;5.20;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-10 00:00:00;2019-01-10 13:50:00;4.43;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-11 00:00:00;2019-01-11 15:10:00;4.47;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-12 00:00:00;2019-01-12 16:00:00;5.30;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-13 00:00:00;2019-01-13 00:00:00;4.77;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-14 00:00:00;2019-01-14 15:40:00;5.25;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-15 00:00:00;2019-01-15 15:40:00;5.47;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-16 00:00:00;2019-01-16 16:30:00;4.90;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-17 00:00:00;2019-01-17 14:30:00;5.70;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-18 00:00:00;2019-01-18 00:00:00;4.80;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-19 00:00:00;2019-01-19 16:30:00;3.49;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-20 00:00:00;2019-01-20 17:20:00;4.47;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-21 00:00:00;2019-01-21 15:10:00;4.35;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-22 00:00:00;2019-01-22 15:40:00;3.98;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-23 00:00:00;2019-01-23 16:10:00;3.84;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-24 00:00:00;2019-01-24 15:30:00;4.06;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-25 00:00:00;2019-01-25 00:00:00;3.50;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-26 00:00:00;2019-01-26 16:00:00;4.61;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-27 00:00:00;2019-01-27 16:20:00;5.23;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-28 00:00:00;2019-01-28 15:20:00;4.46;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-29 00:00:00;2019-01-29 16:20:00;4.18;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-30 00:00:00;2019-01-30 15:10:00;4.04;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-01-31 00:00:00;2019-01-31 17:20:00;4.10;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-01 00:00:00;2019-02-01 13:20:00;4.53;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-02 00:00:00;2019-02-02 16:40:00;4.94;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-03 00:00:00;2019-02-03 00:00:00;4.68;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-04 00:00:00;2019-02-04 16:50:00;4.04;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-05 00:00:00;2019-02-05 19:10:00;3.05;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-06 00:00:00;2019-02-06 19:10:00;2.76;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-07 00:00:00;2019-02-07 20:00:00;3.74;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-08 00:00:00;2019-02-08 17:00:00;4.52;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-09 00:00:00;2019-02-09 15:10:00;5.43;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-10 00:00:00;2019-02-10 15:30:00;5.78;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-11 00:00:00;2019-02-11 15:20:00;4.93;Freigegeben, provisorische Daten
Huttwil, Häberenbad;2343;Wassertemperatur;Tagesmaxima;°C;Langeten;2019-02-12 00:00:00;2019-02-12 16:20:00;5.00;Freigegeben, provisorische Daten
