Stationsnummer: 2347
Stationsname: Roveredo, Bacino di compenso
DBLH-Nr: 00867
Gewässer: Riale di Roggiasca
Exportperiode: 2019-01-01-2022-04-04
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-01 00:00:00;2019-01-01 00:00:00;2.37;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-02 00:00:00;2019-01-02 00:10:00;1.72;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-03 00:00:00;2019-01-03 00:00:00;0.62;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-04 00:00:00;2019-01-04 23:50:00;0.23;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-05 00:00:00;2019-01-05 23:50:00;1.04;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-06 00:00:00;2019-01-06 16:00:00;1.23;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-07 00:00:00;2019-01-07 00:10:00;0.95;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-08 00:00:00;2019-01-08 16:50:00;1.22;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-09 00:00:00;2019-01-09 00:00:00;0.96;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-10 00:00:00;2019-01-10 00:00:00;0.22;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-11 00:00:00;2019-01-11 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-12 00:00:00;2019-01-12 23:40:00;0.21;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-13 00:00:00;2019-01-14 00:00:00;1.18;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-14 00:00:00;2019-01-14 15:20:00;1.58;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-15 00:00:00;2019-01-15 00:00:00;1.33;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-16 00:00:00;2019-01-17 00:00:00;1.05;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-17 00:00:00;2019-01-17 19:40:00;1.58;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-18 00:00:00;2019-01-18 00:00:00;1.48;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-19 00:00:00;2019-01-19 14:50:00;0.37;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-20 00:00:00;2019-01-20 00:00:00;0.15;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-21 00:00:00;2019-01-21 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-22 00:00:00;2019-01-22 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-23 00:00:00;2019-01-23 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-24 00:00:00;2019-01-24 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-25 00:00:00;2019-01-25 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-26 00:00:00;2019-01-26 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-27 00:00:00;2019-01-27 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-28 00:00:00;2019-01-28 01:20:00;0.01;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-29 00:00:00;2019-01-29 00:00:00;0.00;Freigegeben, provisorische Daten
Roveredo, Bacino di compenso;2347;Wassertemperatur;Tagesmaxima;°C;Riale di Roggiasca;2019-01-30 00:00:00;2019-01-30 16:20:00;0.07;Freigegeben, provisorische Daten
