Stationsnummer: 2351
Stationsname: Visp
DBLH-Nr: 00152
Gewässer: Vispa
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-01 00:00:00;2014-01-01 05:05:00;2.21;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-02 00:00:00;2014-01-02 09:45:00;2.15;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-03 00:00:00;2014-01-03 22:55:00;2.49;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-04 00:00:00;2014-01-04 16:25:00;3.36;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-05 00:00:00;2014-01-05 12:45:00;3.53;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-06 00:00:00;2014-01-06 05:25:00;2.81;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-07 00:00:00;2014-01-07 14:05:00;3.44;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-08 00:00:00;2014-01-08 14:15:00;3.43;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-09 00:00:00;2014-01-09 14:05:00;3.14;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-10 00:00:00;2014-01-10 08:45:00;4.25;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-11 00:00:00;2014-01-11 13:35:00;3.95;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-12 00:00:00;2014-01-12 14:25:00;3.61;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-13 00:00:00;2014-01-13 15:25:00;3.12;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-14 00:00:00;2014-01-14 07:45:00;3.23;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-15 00:00:00;2014-01-15 04:25:00;2.84;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-16 00:00:00;2014-01-16 13:45:00;3.23;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-17 00:00:00;2014-01-17 10:15:00;3.54;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-18 00:00:00;2014-01-18 14:55:00;3.57;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-19 00:00:00;2014-01-19 15:45:00;4.00;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-20 00:00:00;2014-01-20 10:05:00;3.55;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-21 00:00:00;2014-01-21 11:45:00;3.79;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-22 00:00:00;2014-01-22 12:35:00;3.08;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-23 00:00:00;2014-01-23 14:25:00;2.81;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-24 00:00:00;2014-01-24 12:25:00;2.98;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-25 00:00:00;2014-01-25 13:35:00;1.73;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-26 00:00:00;2014-01-26 11:25:00;2.46;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-27 00:00:00;2014-01-27 14:45:00;2.67;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-28 00:00:00;2014-01-28 13:55:00;2.01;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-29 00:00:00;2014-01-29 20:55:00;2.37;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-30 00:00:00;2014-01-30 21:15:00;2.93;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-01-31 00:00:00;2014-01-31 13:05:00;3.04;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-01 00:00:00;2014-02-01 14:45:00;3.36;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-02 00:00:00;2014-02-02 13:05:00;2.89;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-03 00:00:00;2014-02-03 12:05:00;3.70;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-04 00:00:00;2014-02-04 13:55:00;3.95;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-05 00:00:00;2014-02-05 15:35:00;3.44;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-06 00:00:00;2014-02-06 14:05:00;3.99;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-07 00:00:00;2014-02-07 16:25:00;2.90;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-08 00:00:00;2014-02-08 15:15:00;2.96;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-09 00:00:00;2014-02-09 14:15:00;3.46;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-10 00:00:00;2014-02-10 18:25:00;3.81;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-11 00:00:00;2014-02-11 14:05:00;3.40;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-12 00:00:00;2014-02-12 14:05:00;3.46;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-13 00:00:00;2014-02-13 14:25:00;2.80;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-14 00:00:00;2014-02-14 22:35:00;2.76;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-15 00:00:00;2014-02-15 14:15:00;4.03;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-16 00:00:00;2014-02-16 12:05:00;3.52;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-17 00:00:00;2014-02-17 14:05:00;4.19;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-18 00:00:00;2014-02-18 14:15:00;3.40;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-19 00:00:00;2014-02-19 09:45:00;3.80;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-20 00:00:00;2014-02-20 13:55:00;4.40;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-21 00:00:00;2014-02-21 11:35:00;3.79;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-22 00:00:00;2014-02-22 14:15:00;3.49;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-23 00:00:00;2014-02-23 12:35:00;3.72;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-24 00:00:00;2014-02-24 13:55:00;3.56;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-25 00:00:00;2014-02-25 14:15:00;3.37;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-26 00:00:00;2014-02-26 13:55:00;3.38;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-27 00:00:00;2014-02-27 14:05:00;3.44;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-02-28 00:00:00;2014-02-28 14:55:00;4.22;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-01 00:00:00;2014-03-01 16:25:00;3.57;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-02 00:00:00;2014-03-02 14:25:00;4.95;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-03 00:00:00;2014-03-03 11:25:00;3.56;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-04 00:00:00;2014-03-04 12:45:00;4.19;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-05 00:00:00;2014-03-05 14:25:00;4.73;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-06 00:00:00;2014-03-06 13:05:00;6.03;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-07 00:00:00;2014-03-07 14:25:00;5.32;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-08 00:00:00;2014-03-08 14:25:00;5.68;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-09 00:00:00;2014-03-09 14:25:00;6.26;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-10 00:00:00;2014-03-10 14:25:00;5.80;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-11 00:00:00;2014-03-11 14:25:00;5.70;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-12 00:00:00;2014-03-12 12:25:00;4.75;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-13 00:00:00;2014-03-13 14:15:00;4.29;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-14 00:00:00;2014-03-14 14:05:00;4.53;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-15 00:00:00;2014-03-15 14:05:00;4.59;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-16 00:00:00;2014-03-16 14:35:00;4.97;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-17 00:00:00;2014-03-17 14:05:00;4.35;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-18 00:00:00;2014-03-18 14:15:00;4.78;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-19 00:00:00;2014-03-19 14:25:00;4.94;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-20 00:00:00;2014-03-20 14:25:00;4.82;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-21 00:00:00;2014-03-21 18:35:00;5.91;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-22 00:00:00;2014-03-22 22:15:00;4.93;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-23 00:00:00;2014-03-23 01:05:00;4.65;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-24 00:00:00;2014-03-24 14:15:00;3.70;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-25 00:00:00;2014-03-25 12:05:00;3.45;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-26 00:00:00;2014-03-26 13:05:00;3.64;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-27 00:00:00;2014-03-27 12:15:00;4.18;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-28 00:00:00;2014-03-28 14:15:00;4.59;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-29 00:00:00;2014-03-29 11:55:00;4.69;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-30 00:00:00;2014-03-30 14:35:00;4.73;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-03-31 00:00:00;2014-03-31 13:45:00;4.87;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-01 00:00:00;2014-04-01 12:05:00;6.12;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-02 00:00:00;2014-04-02 14:15:00;4.80;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-03 00:00:00;2014-04-03 00:00:00;4.71;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-04 00:00:00;2014-04-04 20:25:00;4.81;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-05 00:00:00;2014-04-05 16:05:00;5.41;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-06 00:00:00;2014-04-06 14:05:00;7.25;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-07 00:00:00;2014-04-07 05:25:00;6.37;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-08 00:00:00;2014-04-08 01:45:00;6.91;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-09 00:00:00;2014-04-09 19:55:00;6.52;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-10 00:00:00;2014-04-10 00:00:00;6.01;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-11 00:00:00;2014-04-11 23:05:00;7.78;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-12 00:00:00;2014-04-12 13:45:00;7.79;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-13 00:00:00;2014-04-13 14:35:00;8.40;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-14 00:00:00;2014-04-14 19:15:00;7.55;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-15 00:00:00;2014-04-15 19:35:00;6.33;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-16 00:00:00;2014-04-16 19:25:00;6.30;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-17 00:00:00;2014-04-17 20:45:00;6.66;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-18 00:00:00;2014-04-18 00:00:00;6.31;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-19 00:00:00;2014-04-19 00:05:00;5.33;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-20 00:00:00;2014-04-20 18:25:00;7.19;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-21 00:00:00;2014-04-21 13:25:00;7.92;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-22 00:00:00;2014-04-22 19:35:00;8.23;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-23 00:00:00;2014-04-23 15:55:00;7.91;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-24 00:00:00;2014-04-24 19:25:00;8.04;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-25 00:00:00;2014-04-25 14:55:00;7.66;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-26 00:00:00;2014-04-26 21:05:00;8.02;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-27 00:00:00;2014-04-27 01:25:00;7.46;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-28 00:00:00;2014-04-28 00:00:00;5.66;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-29 00:00:00;2014-04-29 16:55:00;6.20;Freigegeben, validierte Daten
Visp;2351;Wassertemperatur;Tagesmaxima;°C;Vispa;2014-04-30 00:00:00;2014-04-30 17:15:00;6.14;Freigegeben, validierte Daten
