Stationsnummer: 2351
Stationsname: Visp
DBLH-Nr: 00152
Gewässer: Vispa
Exportperiode: 2021-03-10-2022-01-18
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-10 00:00:00;;3.38;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-11 00:00:00;;3.83;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-12 00:00:00;;4.18;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-13 00:00:00;;4.41;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-14 00:00:00;;4.29;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-15 00:00:00;;3.23;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-16 00:00:00;;2.99;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-17 00:00:00;;3.15;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-18 00:00:00;;2.71;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-19 00:00:00;;2.75;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-20 00:00:00;;3.01;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-21 00:00:00;;3.18;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-22 00:00:00;;3.19;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-23 00:00:00;;3.99;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-24 00:00:00;;3.86;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-25 00:00:00;;4.07;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-26 00:00:00;;4.22;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-27 00:00:00;;5.69;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-28 00:00:00;;5.74;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-29 00:00:00;;5.44;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-30 00:00:00;;5.25;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-03-31 00:00:00;;5.44;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-04-01 00:00:00;;5.47;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-04-02 00:00:00;;6.07;Freigegeben, provisorische Daten
Visp;2351;Wassertemperatur;Tagesmittel;°C;Vispa;2021-04-03 00:00:00;;6.26;Freigegeben, provisorische Daten
