Stationsnummer: 2356
Stationsname: Cavergno, Pontit
DBLH-Nr: 00879
Gewässer: Riale di Calneggia
Exportperiode: 2014-01-01-2018-05-26
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-01 00:00:00;2014-01-01 00:00:00;7.63;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-02 00:00:00;2014-01-02 23:59:55;7.64;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-03 00:00:00;2014-01-03 23:59:55;7.64;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-04 00:00:00;2014-01-04 00:00:00;7.44;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-05 00:00:00;2014-01-05 00:00:00;7.27;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-06 00:00:00;2014-01-06 00:00:00;7.65;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-07 00:00:00;2014-01-07 00:00:00;7.78;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-08 00:00:00;2014-01-08 00:00:00;7.82;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-09 00:00:00;2014-01-09 00:00:00;8.00;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-10 00:00:00;2014-01-10 00:00:00;8.17;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-11 00:00:00;2014-01-11 00:00:00;7.76;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-12 00:00:00;2014-01-12 00:00:00;7.70;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-13 00:00:00;2014-01-13 00:00:00;8.07;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-14 00:00:00;2014-01-14 00:00:00;7.57;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-15 00:00:00;2014-01-15 00:00:00;7.51;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-16 00:00:00;2014-01-16 00:00:00;7.71;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-17 00:00:00;2014-01-17 00:00:00;7.23;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-18 00:00:00;2014-01-18 00:00:00;7.43;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-19 00:00:00;2014-01-19 00:00:00;7.26;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-20 00:00:00;2014-01-20 00:00:00;7.16;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-21 00:00:00;2014-01-21 00:00:00;7.00;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-22 00:00:00;2014-01-22 00:00:00;6.69;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-23 00:00:00;2014-01-23 00:00:00;7.19;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-24 00:00:00;2014-01-24 00:00:00;6.69;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-25 00:00:00;2014-01-25 00:00:00;6.65;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-26 00:00:00;2014-01-26 00:00:00;7.62;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-27 00:00:00;2014-01-27 00:00:00;7.76;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-28 00:00:00;2014-01-28 13:20:00;7.03;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-29 00:00:00;2014-01-29 15:50:00;7.32;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-30 00:00:00;2014-01-30 11:10:00;7.36;Freigegeben, validierte Daten
Cavergno, Pontit;2356;Wassertemperatur;Tagesmaxima;°C;Riale di Calneggia;2014-01-31 00:00:00;2014-01-31 17:00:00;7.26;Freigegeben, validierte Daten
