Stationsnummer: 2366
Stationsname: La Rösa
DBLH-Nr: 00890
Gewässer: Poschiavino
Exportperiode: 2019-01-01-2022-03-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-01 00:00:00;2019-01-01 13:40:00;3.47;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-02 00:00:00;2019-01-02 00:10:00;1.01;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-03 00:00:00;2019-01-03 14:00:00;0.94;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-04 00:00:00;2019-01-04 13:50:00;1.38;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-05 00:00:00;2019-01-05 12:00:00;1.46;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-06 00:00:00;2019-01-06 13:50:00;1.86;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-07 00:00:00;2019-01-07 13:40:00;2.17;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-08 00:00:00;2019-01-08 14:10:00;2.72;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-09 00:00:00;2019-01-09 10:50:00;1.75;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-10 00:00:00;2019-01-10 13:50:00;0.89;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-11 00:00:00;2019-01-11 16:30:00;2.30;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-12 00:00:00;2019-01-12 16:00:00;1.74;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-13 00:00:00;2019-01-13 12:50:00;2.19;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-14 00:00:00;2019-01-14 02:40:00;1.61;Freigegeben, provisorische Daten
La Rösa;2366;Wassertemperatur;Tagesmaxima;°C;Poschiavino;2019-01-15 00:00:00;2019-01-15 13:40:00;1.33;Freigegeben, provisorische Daten
