Stationsnummer: 2369
Stationsname: Yvonand, La Mauguettaz
DBLH-Nr: 00898
Gewässer: Mentue
Exportperiode: 2019-01-01-2022-03-03
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-01 00:00:00;2019-01-01 16:20:00;4.63;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-02 00:00:00;2019-01-02 00:00:00;4.20;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-03 00:00:00;2019-01-03 00:00:00;2.90;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-04 00:00:00;2019-01-04 17:00:00;0.82;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-05 00:00:00;2019-01-05 21:00:00;1.42;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-06 00:00:00;2019-01-06 16:50:00;2.28;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-07 00:00:00;2019-01-07 16:10:00;2.67;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-08 00:00:00;2019-01-08 15:30:00;2.91;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-09 00:00:00;2019-01-09 15:40:00;2.69;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-10 00:00:00;2019-01-10 16:50:00;2.16;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-11 00:00:00;2019-01-11 15:50:00;1.68;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-12 00:00:00;2019-01-12 16:10:00;2.42;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-13 00:00:00;2019-01-14 00:00:00;3.53;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-14 00:00:00;2019-01-14 15:50:00;4.68;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-15 00:00:00;2019-01-15 00:00:00;4.23;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-16 00:00:00;2019-01-16 00:00:00;2.15;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-17 00:00:00;2019-01-17 17:40:00;3.50;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-18 00:00:00;2019-01-18 00:00:00;2.98;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-19 00:00:00;2019-01-19 16:50:00;1.64;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-20 00:00:00;2019-01-20 17:40:00;1.38;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-21 00:00:00;2019-01-21 16:10:00;1.77;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-22 00:00:00;2019-01-22 14:40:00;1.66;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-23 00:00:00;2019-01-23 16:10:00;1.05;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-24 00:00:00;2019-01-24 16:30:00;1.33;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-25 00:00:00;2019-01-25 00:00:00;0.73;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-26 00:00:00;2019-01-26 16:10:00;1.06;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-27 00:00:00;2019-01-27 16:50:00;2.72;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-28 00:00:00;2019-01-28 16:40:00;2.38;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-29 00:00:00;2019-01-29 16:10:00;2.00;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-30 00:00:00;2019-01-30 15:50:00;1.89;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-01-31 00:00:00;2019-01-31 17:00:00;1.82;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-01 00:00:00;2019-02-01 15:30:00;2.04;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-02 00:00:00;2019-02-02 17:00:00;3.22;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-03 00:00:00;2019-02-03 16:00:00;3.20;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-04 00:00:00;2019-02-04 00:00:00;2.53;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-05 00:00:00;2019-02-05 16:20:00;1.60;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-06 00:00:00;2019-02-06 16:40:00;1.24;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-07 00:00:00;2019-02-07 20:50:00;2.31;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-08 00:00:00;2019-02-08 16:50:00;3.30;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-09 00:00:00;2019-02-09 18:10:00;4.63;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-10 00:00:00;2019-02-10 17:00:00;5.05;Freigegeben, provisorische Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmaxima;°C;Mentue;2019-02-11 00:00:00;2019-02-11 17:10:00;4.27;Freigegeben, provisorische Daten
