Stationsnummer: 2369
Stationsname: Yvonand, La Mauguettaz
DBLH-Nr: 00898
Gewässer: Mentue
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-01 00:00:00;;3.93;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-02 00:00:00;;4.57;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-03 00:00:00;;4.48;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-04 00:00:00;;5.38;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-05 00:00:00;;4.93;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-06 00:00:00;;4.31;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-07 00:00:00;;5.32;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-08 00:00:00;;5.84;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-09 00:00:00;;5.64;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-10 00:00:00;;6.44;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-11 00:00:00;;5.01;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-12 00:00:00;;4.93;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-13 00:00:00;;5.74;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-14 00:00:00;;5.81;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-15 00:00:00;;4.42;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-16 00:00:00;;4.63;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-17 00:00:00;;4.76;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-18 00:00:00;;5.23;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-19 00:00:00;;4.99;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-20 00:00:00;;5.30;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-21 00:00:00;;5.25;Freigegeben, validierte Daten
Yvonand, La Mauguettaz;2369;Wassertemperatur;Tagesmittel;°C;Mentue;2014-01-22 00:00:00;;4.96;Freigegeben, validierte Daten
