Stationsnummer: 2372
Stationsname: Mollis, Linthbrücke
DBLH-Nr: 00910
Gewässer: Linth
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-01 00:00:00;2014-01-01 14:45:00;5.17;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-02 00:00:00;2014-01-02 16:35:00;5.85;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-03 00:00:00;2014-01-04 00:00:00;5.93;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-04 00:00:00;2014-01-04 18:55:00;6.37;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-05 00:00:00;2014-01-05 14:45:00;6.46;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-06 00:00:00;2014-01-06 13:35:00;6.51;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-07 00:00:00;2014-01-07 15:35:00;7.26;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-08 00:00:00;2014-01-08 09:05:00;6.63;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-09 00:00:00;2014-01-09 21:15:00;6.12;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-10 00:00:00;2014-01-10 10:05:00;6.16;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-11 00:00:00;2014-01-12 00:00:00;6.35;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-12 00:00:00;2014-01-12 00:05:00;6.36;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-13 00:00:00;2014-01-13 16:15:00;5.66;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-14 00:00:00;2014-01-14 08:05:00;5.13;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-15 00:00:00;2014-01-15 14:35:00;5.84;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-16 00:00:00;2014-01-16 15:35:00;5.82;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-17 00:00:00;2014-01-17 16:25:00;6.27;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-18 00:00:00;2014-01-19 00:00:00;5.91;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-19 00:00:00;2014-01-19 13:55:00;6.68;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-20 00:00:00;2014-01-20 00:00:00;6.35;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-21 00:00:00;2014-01-21 08:25:00;6.44;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-22 00:00:00;2014-01-22 14:15:00;6.29;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-23 00:00:00;2014-01-23 17:15:00;6.06;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-24 00:00:00;2014-01-24 03:45:00;5.72;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-25 00:00:00;2014-01-25 14:15:00;6.16;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-26 00:00:00;2014-01-26 16:05:00;5.33;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-27 00:00:00;2014-01-27 15:55:00;5.60;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-28 00:00:00;2014-01-28 14:25:00;5.70;Freigegeben, validierte Daten
Mollis, Linthbrücke;2372;Wassertemperatur;Tagesmaxima;°C;Linth;2014-01-29 00:00:00;2014-01-29 16:15:00;5.55;Freigegeben, validierte Daten
