Stationsnummer: 2386
Stationsname: Frauenfeld
DBLH-Nr: 00977
Gewässer: Murg
Exportperiode: 2019-01-01-2022-03-17
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-01 00:00:00;2019-01-01 13:20:00;7.03;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-02 00:00:00;2019-01-02 00:00:00;6.60;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-03 00:00:00;2019-01-03 00:00:00;5.19;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-04 00:00:00;2019-01-04 14:00:00;4.13;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-05 00:00:00;2019-01-05 04:30:00;4.07;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-06 00:00:00;2019-01-06 21:00:00;5.65;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-07 00:00:00;2019-01-07 19:10:00;6.01;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-08 00:00:00;2019-01-08 00:00:00;5.89;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-09 00:00:00;2019-01-09 00:00:00;5.69;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-10 00:00:00;2019-01-10 00:00:00;4.78;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-11 00:00:00;2019-01-11 15:00:00;4.58;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-12 00:00:00;2019-01-12 20:50:00;5.23;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-13 00:00:00;2019-01-13 22:00:00;5.61;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-14 00:00:00;2019-01-14 16:50:00;5.86;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-15 00:00:00;2019-01-15 17:00:00;5.90;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-16 00:00:00;2019-01-16 00:00:00;5.22;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-17 00:00:00;2019-01-17 17:30:00;5.97;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-18 00:00:00;2019-01-18 00:00:00;5.51;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-19 00:00:00;2019-01-19 00:00:00;4.28;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-20 00:00:00;2019-01-20 22:20:00;3.90;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-21 00:00:00;2019-01-21 18:40:00;4.66;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-22 00:00:00;2019-01-22 00:00:00;4.25;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-23 00:00:00;2019-01-23 00:00:00;4.11;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-24 00:00:00;2019-01-24 14:40:00;3.80;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-25 00:00:00;2019-01-25 00:00:00;3.61;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-26 00:00:00;2019-01-26 23:30:00;4.35;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-27 00:00:00;2019-01-27 21:40:00;5.36;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-28 00:00:00;2019-01-28 00:00:00;5.27;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-29 00:00:00;2019-01-29 16:20:00;4.73;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-30 00:00:00;2019-01-30 15:30:00;4.23;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-01-31 00:00:00;2019-02-01 00:00:00;3.73;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-02-01 00:00:00;2019-02-01 22:30:00;4.59;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-02-02 00:00:00;2019-02-02 23:50:00;5.33;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-02-03 00:00:00;2019-02-03 08:50:00;5.53;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-02-04 00:00:00;2019-02-04 16:50:00;4.35;Freigegeben, provisorische Daten
Frauenfeld;2386;Wassertemperatur;Tagesmaxima;°C;Murg;2019-02-05 00:00:00;2019-02-05 00:00:00;3.98;Freigegeben, provisorische Daten
