Stationsnummer: 2410
Stationsname: Ruggell
DBLH-Nr: 00929
Gewässer: Liechtensteiner Binnenkanal
Exportperiode: 2019-01-01-2020-06-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-01 00:00:00;2019-01-01 16:10:00;8.07;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-02 00:00:00;2019-01-02 00:00:00;7.92;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-03 00:00:00;2019-01-03 16:00:00;7.49;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-04 00:00:00;2019-01-04 15:10:00;7.80;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-05 00:00:00;2019-01-05 10:00:00;7.28;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-06 00:00:00;2019-01-06 23:10:00;7.87;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-07 00:00:00;2019-01-07 14:00:00;8.34;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-08 00:00:00;2019-01-08 15:10:00;7.92;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-09 00:00:00;2019-01-09 06:50:00;7.07;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-10 00:00:00;2019-01-10 14:20:00;7.73;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-11 00:00:00;2019-01-11 14:50:00;7.32;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-12 00:00:00;2019-01-12 15:30:00;7.92;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-13 00:00:00;2019-01-13 00:10:00;7.25;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-14 00:00:00;2019-01-14 13:50:00;5.90;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-15 00:00:00;2019-01-15 13:50:00;7.16;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-16 00:00:00;2019-01-16 23:40:00;7.18;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-17 00:00:00;2019-01-17 14:20:00;7.83;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-18 00:00:00;2019-01-18 14:10:00;7.77;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-19 00:00:00;2019-01-19 15:10:00;7.31;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-20 00:00:00;2019-01-20 18:30:00;7.61;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-21 00:00:00;2019-01-21 14:10:00;7.62;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-22 00:00:00;2019-01-22 14:20:00;7.30;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-23 00:00:00;2019-01-23 14:20:00;6.91;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-24 00:00:00;2019-01-24 13:20:00;7.46;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-25 00:00:00;2019-01-25 14:00:00;7.78;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-26 00:00:00;2019-01-26 17:00:00;7.92;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-27 00:00:00;2019-01-27 17:00:00;8.13;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-28 00:00:00;2019-01-28 14:20:00;8.06;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-29 00:00:00;2019-01-29 15:00:00;8.47;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-30 00:00:00;2019-01-30 15:10:00;7.47;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-01-31 00:00:00;2019-01-31 14:30:00;7.53;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-01 00:00:00;2019-02-01 14:40:00;8.16;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-02 00:00:00;2019-02-02 15:20:00;8.22;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-03 00:00:00;2019-02-03 00:00:00;7.80;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-04 00:00:00;2019-02-04 14:20:00;7.56;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-05 00:00:00;2019-02-05 14:40:00;7.46;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmaxima;°C;Liechtensteiner Binnenkanal;2019-02-06 00:00:00;2019-02-06 13:50:00;6.89;Freigegeben, provisorische Daten
